Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,23-137,1998,19,5,638,7.1,0,1,0,0,0,3,0,0.0,0.14,0.14,0.0,0.14,2.2,2.2,1.1,3.3,0.31,0.16,0.47,0.31,0.47,Matches,7.1,14,7,3,7,4,2,9,22.2,7,165,34,20.6,20,74,71,8,3,0,5,8,22,6,0,,,,,,,,,,,,,,,80,122,65.6,1098,309,48,67,71.6,23,35,65.7,3,8,37.5,1,1.1,-0.1,7,6,6,0,13,769.2307692307693,40000,384.61538461538464,20000,640.9423076923077,33329,320.46153846153845,16664,870.8653846153846,45285,435.4230769230769,22642,3-yrs,120000,60000,99986,49993,135855,67927,Reserve,F,CF,23,Nigeria,Furth
2,Ragnar Ache,de GER,FWMF,Eint Frankfurt,23-235,1998,10,0,130,1.4,0,1,0,0,0,0,0,0.0,0.69,0.69,0.0,0.69,0.4,0.4,0.3,0.7,0.3,0.19,0.49,0.3,0.49,Matches,1.4,2,2,0,1,1,2,3,66.7,1,43,14,32.6,5,17,21,3,0,0,3,0,2,1,0,,,,,,,,,,,,,,,28,55,50.9,425,90,12,23,52.2,13,23,56.5,1,3,33.3,1,0.3,0.7,2,1,2,2,1,6730.769230769231,350000,3653.846153846154,190000,5608.173076923077,291625,3044.423076923077,158310,7620.057692307692,396243,4136.596153846154,215103,4-yrs,1400000,760000,1166498,633242,1584971,860413,Reserve,F,CF,23,Germany,Eintracht Frankfurt
3,Tyler Adams,us USA,MF,RB Leipzig,23-034,1999,19,10,1096,12.2,0,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.8,1.0,0.01,0.07,0.08,0.01,0.08,Matches,12.2,23,13,4,16,3,7,26,26.9,19,264,84,31.8,69,162,33,26,1,0,25,20,43,17,1,,,,,,,,,,,,,,,658,760,86.6,10863,2753,328,356,92.1,253,282,89.7,58,84,69.0,1,0.8,0.2,7,63,8,0,46,19230.76923076923,1000000,10192.307692307691,530000,16023.326923076924,833213,8492.365384615385,441603,21771.57692307692,1132122,11538.942307692309,600025,4-yrs,4000000,2120000,3332852,1766411,4528489,2400099,Reserve,M,DM,22,United States,Leipzig
5,Amine Adli,fr FRA,FWMF,Leverkusen,21-314,2000,24,12,1176,13.1,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,4.1,4.1,1.7,5.8,0.31,0.13,0.44,0.31,0.44,Matches,13.1,37,24,14,17,6,17,29,58.6,12,266,88,33.1,61,105,100,32,4,0,28,16,53,6,0,,,,,,,,,,,,,,,365,484,75.4,5414,1620,203,242,83.9,140,188,74.5,11,24,45.8,2,1.7,0.3,11,28,14,6,40,21346.153846153848,1110000,11346.153846153846,590000,17785.884615384617,924866,9453.76923076923,491596,24166.46153846154,1256656,12845.23076923077,667952,5-yrs,5550000,2950000,4624332,2457978,6283279,3339761,Reserve,F,RW,21,France,Bayer Leverkusen
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19-356,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.7,0,0,0,0,0,0,1,0.0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0,,,,,,,,,,,,,,,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,384.61538461538464,20000,192.30769230769232,10000,320.46153846153845,16664,160.23076923076923,8332,435.4230769230769,22642,217.71153846153845,11321,4-yrs,80000,40000,66657,33329,90570,45285,Reserve,M,DM,19,France,Stuttgart
7,Manuel Akanji,ch SUI,DF,Dortmund,26-244,1995,18,17,1567,17.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.4,0.07,0.01,0.08,0.07,0.08,Matches,17.4,38,27,22,12,4,18,25,72.0,7,171,82,48.0,101,59,11,24,12,0,12,35,73,50,0,,,,,,,,,,,,,,,1211,1331,91.0,27584,9188,323,349,92.6,623,646,96.4,262,324,80.9,0,0.1,-0.1,2,87,3,0,88,48076.92307692308,2500000,25576.92307692308,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,D,CB,26,Switzerland,Borussia Dortmund
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,26-335,1995,21,15,1219,13.5,2,2,2,0,0,4,0,0.15,0.15,0.3,0.15,0.3,1.2,1.2,2.0,3.3,0.09,0.15,0.24,0.09,0.24,Matches,13.5,28,15,13,8,7,14,23,60.9,9,207,62,30.0,78,79,50,49,0,0,49,28,56,18,1,,,,,,,,,,,,,,,579,754,76.8,10627,4449,259,306,84.6,250,304,82.2,64,117,54.7,2,2.0,0.0,11,37,12,2,67,16730.76923076923,870000,8846.153846153846,460000,13940.28846153846,724895,7370.7307692307695,383278,18941.26923076923,984946,10014.923076923076,520776,3-yrs,2610000,1380000,2174686,1149834,2954839,1562329,Reserve,D,CB,26,Nigeria,Hoffenheim
9,Lucas Alario,ar ARG,FW,Leverkusen,29-163,1992,19,3,449,5.0,3,0,3,0,1,2,0,0.6,0.0,0.6,0.6,0.6,3.7,2.9,0.9,3.8,0.74,0.18,0.91,0.59,0.76,Matches,5.0,5,4,0,4,1,2,3,66.7,1,75,20,26.7,4,28,43,4,0,0,4,2,7,4,0,,,,,,,,,,,,,,,81,110,73.6,1108,179,53,71,74.6,24,28,85.7,2,5,40.0,0,0.9,-0.9,4,1,1,0,5,56923.07692307692,2960000,30192.30769230769,1570000,47429.03846153846,2466310,25156.615384615383,1308144,64443.88461538462,3351082,34181.38461538462,1777432,3-yrs,8880000,4710000,7398931,3924433,10053246,5332296,Reserve,F,CF,29,Argentina,Bayer Leverkusen
11,Sebastian Andersson,se SWE,FW,Köln,30-248,1991,24,11,1084,12.0,2,1,2,0,0,3,0,0.17,0.08,0.25,0.17,0.25,4.0,4.0,1.3,5.3,0.33,0.11,0.44,0.33,0.44,Matches,12.0,9,7,1,3,5,5,9,55.6,4,164,49,29.9,2,64,98,7,0,0,7,3,12,8,0,,,,,,,,,,,,,,,146,217,67.3,1726,344,95,127,74.8,33,58,56.9,1,4,25.0,1,1.3,-0.3,9,3,5,1,9,17115.384615384617,890000,9038.46153846154,470000,14260.76923076923,741560,7530.961538461538,391610,19376.71153846154,1007589,10232.634615384615,532097,2-yrs,1780000,940000,1483119,783220,2015178,1064195,Reserve,F,CF,30,Sweden,Koln
14,Robert Andrich,de GER,MF,Leverkusen,27-179,1994,19,15,1284,14.3,4,2,4,0,0,4,1,0.28,0.14,0.42,0.28,0.42,2.7,2.7,0.7,3.5,0.19,0.05,0.24,0.19,0.24,Matches,14.3,27,23,14,12,1,9,22,40.9,13,242,83,34.3,94,126,22,29,8,0,21,38,65,37,2,,,,,,,,,,,,,,,565,690,81.9,10108,2925,250,277,90.3,241,281,85.8,63,109,57.8,2,0.7,1.3,6,62,8,0,64,57307.69230769231,2980000,30384.615384615383,1580000,47749.519230769234,2482975,25316.846153846152,1316476,64879.307692307695,3373724,34399.09615384616,1788753,5-yrs,14900000,7900000,12414873,6582382,16868622,8943766,Starter,M,CM,27,Germany,Bayer Leverkusen
