Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
1,Yunis Abdelhamid,ma MAR,DF,Reims,34-173,1987,25,25,2173,24.1,1,0,1,0,0,4,1,0.04,0.0,0.04,0.04,0.04,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,Matches,24.1,39,30,29,9,1,9,18,50.0,9,322,118,36.6,182,120,20,48,20,2,28,79,118,78,0,,,,,,,,,,,,,,,966,1168,82.7,20761,7073,258,289,89.3,556,623,89.2,143,219,65.3,0,0.2,-0.2,6,61,4,0,61,9230.76923076923,480000,5000.0,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,1-yr,480000,260000,399942,216635,543419,294352,Starter,D,CB,34,Morocco,Reims
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-359,2000,25,24,2057,22.9,0,0,0,0,0,10,2,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,0.03,0.04,0.07,0.03,0.07,Matches,22.9,45,29,21,21,3,13,47,27.7,34,540,161,29.8,174,279,87,23,1,0,22,41,86,14,0,,,,,,,,,,,,,,,1321,1433,92.2,24613,4160,527,560,94.1,616,649,94.9,159,187,85.0,0,0.9,-0.9,10,61,5,0,56,961.5384615384615,50000,576.9230769230769,30000,801.1730769230769,41661,480.6923076923077,24996,1088.576923076923,56606,653.1538461538462,33964,4-yrs,200000,120000,166643,99986,226424,135855,Starter,M,DM,21,Ghana,Clermont
3,Laurent Abergel,fr FRA,MF,Lorient,29-047,1993,24,24,2089,23.2,0,2,0,0,0,8,0,0.0,0.09,0.09,0.0,0.09,1.8,1.8,2.1,3.8,0.08,0.09,0.17,0.08,0.17,Matches,23.2,81,49,37,36,8,41,110,37.3,69,640,187,29.2,224,338,78,37,1,0,36,63,144,11,0,,,,,,,,,,,,,,,945,1158,81.6,18225,4720,372,418,89.0,408,462,88.3,148,220,67.3,2,2.1,-0.1,18,89,15,6,88,4615.384615384615,240000,2500.0,130000,3845.596153846154,199971,2083.038461538461,108318,5225.173076923077,271709,2830.3076923076924,147176,4-yrs,960000,520000,799884,433271,1086837,588704,Reserve,M,DM,29,France,Lorient
7,Yacine Adli,fr FRA,MFFW,Bordeaux,21-234,2000,28,22,1908,21.2,1,6,1,0,0,4,0,0.05,0.28,0.33,0.05,0.33,1.5,1.5,4.5,6.0,0.07,0.21,0.28,0.07,0.28,Matches,21.2,33,25,17,11,5,8,48,16.7,40,475,140,29.5,111,250,114,31,3,0,28,40,73,8,1,,,,,,,,,,,,,,,758,1020,74.3,16179,5189,296,348,85.1,293,355,82.5,160,278,57.6,6,4.5,1.5,50,95,28,4,117,15961.53846153846,830000,8846.153846153846,460000,13299.365384615385,691567,7370.7307692307695,383278,18070.42307692308,939662,10014.923076923076,520776,1-yr,830000,460000,691567,383278,939662,520776,Starter,F,AM,21,France,Bordeaux
8,Lucien Agoume,fr FRA,MF,Brest,20-039,2002,21,17,1506,16.7,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.4,1.3,0.06,0.02,0.09,0.06,0.08,Matches,16.7,46,32,21,20,5,12,22,54.5,10,290,86,29.7,91,156,43,30,10,0,20,47,93,27,0,,,,,,,,,,,,,,,671,782,85.8,12499,3229,280,314,89.2,274,305,89.8,96,120,80.0,0,0.4,-0.4,10,47,10,0,59,8653.846153846154,450000,4807.692307692308,250000,7210.5,374946,4005.826923076923,208303,9797.21153846154,509455,5442.903846153846,283031,1-yr,450000,250000,374946,208303,509455,283031,Reserve,M,DM,19,France,Brest
9,Nayef Aguerd,ma MAR,DF,Rennes,25-355,1996,24,24,2150,23.9,2,1,2,0,0,2,0,0.08,0.04,0.13,0.08,0.13,1.6,1.6,0.3,1.8,0.07,0.01,0.08,0.07,0.08,Matches,23.9,23,9,14,9,0,5,15,33.3,10,152,52,34.2,83,65,4,24,11,0,13,44,67,121,1,,,,,,,,,,,,,,,1486,1647,90.2,34195,11176,362,385,94.0,776,814,95.3,340,430,79.1,1,0.3,0.7,2,83,2,0,61,4230.769230769231,220000,2307.692307692308,120000,3525.1346153846152,183307,1922.8076923076924,99986,4789.75,249067,2612.596153846154,135855,4-yrs,880000,480000,733227,399942,996268,543419,Starter,D,CB,25,Morocco,Rennes
10,Ruben Aguilar,fr FRA,DF,Monaco,28-328,1993,19,13,1362,15.1,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.1,0.1,0.4,0.5,0.0,0.03,0.03,0.0,0.03,Matches,15.1,62,36,31,23,8,34,53,64.2,19,255,90,35.3,121,97,37,22,3,0,19,38,100,49,0,,,,,,,,,,,,,,,1001,1171,85.5,17725,6333,455,494,92.1,454,513,88.5,82,137,59.9,1,0.4,0.6,8,86,20,6,89,23461.53846153846,1220000,20384.615384615383,1060000,19548.46153846154,1016520,16984.73076923077,883206,26561.32692307692,1381189,23077.884615384617,1200050,3-yrs,3660000,3180000,3049559,2649617,4143568,3600149,Starter,D,RB,28,France,Monaco
11,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22-359,1999,6,6,540,6.0,0,1,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches,6.0,11,7,7,4,0,6,12,50.0,6,63,21,33.3,33,22,8,4,2,0,2,18,29,18,0,,,,,,,,,,,,,,,364,395,92.2,7488,2343,127,134,94.8,174,182,95.6,60,71,84.5,1,0.2,0.8,4,19,2,1,22,3846.153846153846,200000,2115.3846153846152,110000,3204.673076923077,166643,1762.5576923076924,91653,4354.307692307692,226424,2394.8653846153848,124533,1-yr,200000,110000,166643,91653,226424,124533,Starter,D,CB,22,Bosnia-Herzegovina,Bordeaux
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-000,1994,16,7,589,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,0.8,1.6,0.13,0.12,0.25,0.13,0.25,Matches,6.5,9,6,4,5,0,5,9,55.6,4,108,23,21.3,38,58,12,5,1,0,4,13,22,10,0,,,,,,,,,,,,,,,219,264,83.0,3780,610,88,95,92.6,99,115,86.1,23,39,59.0,1,0.8,0.2,4,11,4,1,15,17884.615384615383,930000,9807.692307692309,510000,14901.692307692309,774888,8171.903846153846,424939,20247.57692307692,1052874,11103.5,577382,1-yr,930000,510000,774888,424939,1052874,577382,Reserve,M,DM,27,Cote d&#39;Ivoire,Strasbourg
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-023,1994,26,24,2086,23.2,10,7,8,2,2,4,1,0.43,0.3,0.73,0.35,0.65,8.9,7.4,3.6,10.9,0.38,0.15,0.54,0.32,0.47,Matches,23.2,38,22,4,16,18,6,33,18.2,27,399,107,26.8,50,176,173,22,5,0,17,10,48,24,1,,,,,,,,,,,,,,,525,719,73.0,7981,1165,298,374,79.7,149,206,72.3,45,70,64.3,7,3.6,3.4,26,27,22,4,41,9423.076923076924,490000,5192.307692307692,270000,7851.423076923077,408274,4326.307692307692,224968,10668.076923076924,554740,5878.326923076923,305673,3-yrs,1470000,810000,1224823,674903,1664220,917019,Starter,F,CF,27,France,Strasbourg
