Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
2,Marcos Acuña,ar ARG,DF,Sevilla,30-143,1991.0,24,19,1665,18.5,1,3,1,0,0,6,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,Matches,18.5,43,27,23,10,10,18,25,72.0,7,201,68,33.8,81,84,36,25,2,0,23,22,65,26,0,,,,,,,,,,,,,,,1137,1434,79.3,23512,8594,429,457,93.9,492,579,85.0,207,357,58.0,3,2.7,0.3,36,71,35,20,89,54615.38461538462,2840000,26153.846153846152,1360000,45506.25,2366325,21791.73076923077,1133170,61831.28846153846,3215227,29609.346153846152,1539686,3-yrs,8520000,4080000,7098975,3399509,9645682,4619059,Starter,D,LB,30,Argentina,Sevilla
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21-084,2000.0,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,5.0,1.25,20.0,15.0,75.0,1.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0,11153.846153846154,580000,5384.615384615385,280000,9293.53846153846,483264,4486.538461538462,233300,12627.51923076923,656631,6096.038461538462,316994,4-yrs,2320000,1120000,1933054,933199,2626524,1267977,Reserve,K,GK,21,Spain,Athletic Club
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-172,1995.0,22,20,1738,19.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.0,0.01,0.01,0.01,Matches,19.3,35,25,27,6,2,12,21,57.1,9,204,82,40.2,136,63,5,38,15,0,23,37,72,84,2,,,,,,,,,,,,,,,815,975,83.6,18745,5264,185,210,88.1,426,469,90.8,194,274,70.8,0,0.1,-0.1,2,65,4,0,63,37500.0,1950000,18076.92307692308,940000,31245.48076923077,1624765,15061.923076923076,783220,42454.57692307692,2207638,20465.28846153846,1064195,3-yrs,5850000,2820000,4874296,2349661,6622915,3192585,Starter,D,CB,26,Ghana,Celta Vigo
8,Carlos Akapo,gq EQG,DF,Cádiz,29-008,1993.0,16,13,1178,13.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches,13.1,24,13,18,4,2,7,19,36.8,12,173,56,32.4,101,52,20,22,6,0,16,36,60,34,0,,,,,,,,,,,,,,,365,514,71.0,7053,2941,146,174,83.9,165,216,76.4,48,98,49.0,0,0.3,-0.3,5,16,9,5,18,8653.846153846154,450000,4230.769230769231,220000,7210.5,374946,3525.1346153846152,183307,9797.21153846154,509455,4789.75,249067,1-yr,450000,220000,374946,183307,509455,249067,Reserve,D,RB,28,Equatorial Guinea,Cadiz
10,Paul Akouokou,ci CIV,MF,Betis,24-090,1997.0,6,4,337,3.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,3.7,11,7,4,5,2,4,7,57.1,3,70,23,32.9,23,38,9,5,0,0,5,8,19,8,0,,,,,,,,,,,,,,,170,192,88.5,3085,659,70,79,88.6,80,87,92.0,15,20,75.0,0,0.0,0.0,1,17,1,0,13,9807.692307692309,510000,4615.384615384615,240000,8171.903846153846,424939,3845.596153846154,199971,11103.5,577382,5225.173076923077,271709,3-yrs,1530000,720000,1274816,599913,1732147,815128,Reserve,M,DM,24,Cote d&#39;Ivoire,Real Betis
11,David Alaba,at AUT,DF,Real Madrid,29-269,1992.0,25,25,2242,24.9,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches,24.9,22,17,12,8,2,6,13,46.2,7,184,67,36.4,89,78,17,28,12,1,16,36,58,59,2,,,,,,,,,,,,,,,1534,1663,92.2,28546,9438,641,662,96.8,686,724,94.8,187,241,77.6,3,2.2,0.8,18,119,15,3,88,432692.3076923077,22500000,207692.3076923077,10800000,360524.8461538461,18747292,173051.92307692306,8998700,489860.6153846154,25472752,235133.09615384616,12226921,5-yrs,112500000,54000000,93736459,44993500,127363759,61134604,Starter,D,CB,29,Austria,Real Madrid
12,Tomás Alarcón,cl CHI,MF,Cádiz,23-060,1999.0,19,15,1326,14.7,0,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches,14.7,27,14,13,9,5,8,19,42.1,11,226,74,32.7,114,86,26,29,6,0,23,26,53,45,0,,,,,,,,,,,,,,,375,527,71.2,8513,2311,124,142,87.3,150,196,76.5,91,163,55.8,1,1.1,-0.1,14,43,8,3,36,15961.53846153846,830000,7692.307692307692,400000,13299.365384615385,691567,6409.326923076923,333285,18070.42307692308,939662,8708.634615384615,452849,4-yrs,3320000,1600000,2766267,1333141,3758646,1811396,Reserve,M,DM,23,Chile,Cadiz
13,Jordi Alba,es ESP,DF,Barcelona,32-364,1989.0,20,20,1749,19.4,1,7,1,0,0,5,0,0.05,0.36,0.41,0.05,0.41,0.9,0.9,3.4,4.3,0.05,0.17,0.22,0.05,0.22,Matches,19.4,27,16,9,14,4,12,32,37.5,20,205,70,34.1,66,98,41,40,5,0,35,35,62,27,2,,,,,,,,,,,,,,,1488,1771,84.0,25796,9740,686,758,90.5,650,741,87.7,133,208,63.9,7,3.4,3.6,33,129,38,10,161,400576.9230769231,20830000,192307.6923076923,10000000,333765.8846153846,17355826,160233.26923076922,8332130,453502.07692307694,23582108,217715.8269230769,11321223,3-yrs,62490000,30000000,52067478,24996389,70746323,33963669,Starter,D,LB,32,Spain,Barcelona
14,Raúl Albiol,es ESP,DF,Villarreal,36-197,1985.0,22,22,1935,21.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.03,0.0,0.03,0.03,0.03,Matches,21.5,25,13,16,9,0,9,14,64.3,5,139,58,41.7,71,62,6,25,10,1,15,31,56,105,0,,,,,,,,,,,,,,,1120,1279,87.6,26558,7332,237,257,92.2,612,655,93.4,259,341,76.0,0,0.0,0.0,1,51,0,0,53,57884.61538461538,3010000,27692.30769230769,1440000,48230.21153846154,2507971,23073.596153846152,1199827,65532.46153846154,3407688,31351.07692307692,1630256,2-yrs,6020000,2880000,5015942,2399653,6815376,3260512,Starter,D,CB,36,Spain,Villarreal
15,Paco Alcácer,es ESP,FW,Villarreal,28-202,1993.0,10,6,470,5.2,0,2,0,0,0,1,0,0.0,0.38,0.38,0.0,0.38,1.6,1.6,1.6,3.1,0.3,0.3,0.6,0.3,0.6,Matches,5.2,4,3,1,2,1,2,3,66.7,1,65,19,29.2,3,26,36,2,0,0,2,3,7,0,0,,,,,,,,,,,,,,,81,108,75.0,1119,223,49,59,83.1,18,26,69.2,6,7,85.7,2,1.6,0.4,5,5,3,1,7,132884.61538461538,6910000,63846.15384615384,3320000,110721.19230769233,5757502,53197.44230769231,2766267,150441.63461538462,7822965,72281.65384615384,3758646,4-yrs,27640000,13280000,23030006,11065068,31291860,15034584,Starter,F,CF,28,Spain,Villarreal
