name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Antoine Griezmann,721153.8461538461,37500000,346153.8461538461,18000000,600874.7307692308,31245486,288419.8653846154,14997833,816434.3461538461,42454586,391888.48076923075,20378201,1-yr,37500000,18000000,31245486,14997833,42454586,20378201,Reserve,F,SS,30,France,Atletico Madrid
Gareth Bale,540961.5384615385,28130000,259615.38461538462,13500000,450736.17307692306,23438281,216314.90384615384,11248375,612434.6153846154,31846600,293916.3653846154,15283651,1-yr,28130000,13500000,23438281,11248375,31846600,15283651,Reserve,F,RW,32,Wales,Real Madrid
Eden Hazard,540961.5384615385,28130000,259615.38461538462,13500000,450736.17307692306,23438281,216314.90384615384,11248375,612434.6153846154,31846600,293916.3653846154,15283651,3-yrs,84390000,40500000,70314843,33745125,95539801,45850953,Reserve,F,LW,31,Belgium,Real Madrid
David Alaba,432692.3076923077,22500000,207692.3076923077,10800000,360524.8461538461,18747292,173051.92307692306,8998700,489860.6153846154,25472752,235133.09615384616,12226921,5-yrs,112500000,54000000,93736459,44993500,127363759,61134604,Starter,D,CB,29,Austria,Real Madrid
Sergio Busquets,423076.92307692306,22000000,203076.92307692306,10560000,352513.17307692306,18330685,169206.32692307694,8798729,478974.82692307694,24906691,229907.90384615384,11955211,2-yrs,44000000,21120000,36661371,17597458,49813381,23910423,Starter,M,DM,33,Spain,Barcelona
Toni Kroos,421923.07692307694,21940000,202500,10530000,351551.78846153844,18280693,168725.63461538462,8773733,477668.51923076925,24838763,229254.76923076922,11921248,2-yrs,43880000,21060000,36561385,17547465,49677527,23842496,Starter,M,CM,32,Germany,Real Madrid
Marcelo,421923.07692307694,21940000,202500,10530000,351551.78846153844,18280693,168725.63461538462,8773733,477668.51923076925,24838763,229254.76923076922,11921248,1-yr,21940000,10530000,18280693,8773733,24838763,11921248,Reserve,D,LB,33,Brazil,Real Madrid
Jordi Alba,400576.92307692306,20830000,192307.6923076923,10000000,333765.8846153846,17355826,160233.26923076922,8332130,453502.07692307694,23582108,217715.82692307694,11321223,3-yrs,62490000,30000000,52067478,24996389,70746323,33963669,Starter,D,LB,32,Spain,Barcelona
Jan Oblak,400000,20800000,191923.07692307694,9980000,333285.1923076923,17330830,159912.78846153847,8315465,452848.92307692306,23548144,217280.40384615384,11298581,2-yrs,41600000,19960000,34661660,16630931,47096288,22597161,Starter,K,GK,29,Slovenia,Atletico Madrid
Ousmane Dembélé,384615.3846153846,20000000,184615.38461538462,9600000,320466.51923076925,16664259,153823.9423076923,7998845,435431.6538461539,22642446,209007.1923076923,10868374,1-yr,20000000,9600000,16664259,7998845,22642446,10868374,Reserve,F,RW,24,France,Barcelona
Luka Modric,378653.8461538461,19690000,181730.76923076922,9450000,315499.28846153844,16405963,151420.4423076923,7873863,428682.46153846156,22291488,205741.46153846153,10698556,1-yr,19690000,9450000,16405963,7873863,22291488,10698556,Starter,M,CM,36,Croatia,Real Madrid
Karim Benzema,360769.23076923075,18760000,173076.92307692306,9000000,300597.5961538461,15631075,144209.9423076923,7498917,408434.8846153846,21238614,195944.25,10189101,2-yrs,37520000,18000000,31262151,14997833,42477229,20378201,Starter,F,CF,34,France,Real Madrid
Koke,307692.3076923077,16000000,147692.3076923077,7680000,256373.23076923078,13331408,123059.15384615384,6399076,348345.32692307694,18113957,167205.75,8694699,3-yrs,48000000,23040000,39994223,19197227,54341870,26084098,Starter,M,CM,30,Spain,Atletico Madrid
Frenkie de Jong,307692.3076923077,16000000,147692.3076923077,7680000,256373.23076923078,13331408,123059.15384615384,6399076,348345.32692307694,18113957,167205.75,8694699,5-yrs,80000000,38400000,66657038,31995378,90569784,43473496,Starter,M,CM,24,Netherlands,Barcelona
Luis Suárez,300384.6153846154,15620000,144230.76923076922,7500000,250284.36538461538,13014787,120174.94230769231,6249097,340072.1153846154,17683750,163286.86538461538,8490917,1-yr,15620000,7500000,13014787,6249097,17683750,8490917,Starter,F,CF,35,Uruguay,Atletico Madrid
João Félix,280384.6153846154,14580000,134615.38461538462,7000000,233620.09615384616,12148245,112163.28846153847,5832491,317429.67307692306,16506343,152401.07692307694,7924856,5-yrs,72900000,35000000,60741226,29162454,82531716,39624280,Starter,F,SS,22,Portugal,Atletico Madrid
Vinicius Junior,270576.92307692306,14070000,129807.69230769231,6750000,225448.1923076923,11723306,108157.46153846153,5624188,306326.17307692306,15928961,146958.1923076923,7641826,3-yrs,42210000,20250000,35169919,16872563,47786882,22925477,Reserve,F,LW,21,Brazil,Real Madrid
Ivan Rakitic,253846.15384615384,13200000,121923.07692307692,6340000,211507.90384615384,10998411,101587.88461538461,5282570,287384.8846153846,14944014,138031.82692307694,7177655,3-yrs,39600000,19020000,32995234,15847711,44832043,21532966,Starter,M,CM,33,Croatia,Sevilla
Isco,252307.6923076923,13120000,121153.84615384616,6300000,210226.03846153847,10931754,100946.96153846153,5249242,285643.17307692306,14853445,137160.96153846153,7132370,1-yr,13120000,6300000,10931754,5249242,14853445,7132370,Reserve,F,AM,29,Spain,Real Madrid
Thibaut Courtois,227307.6923076923,11820000,109038.46153846153,5670000,189395.71153846153,9848577,90852.26923076923,4724318,257340.11538461538,13381686,123444.86538461539,6419133,5-yrs,59100000,28350000,49242887,23621588,66908428,32095667,Starter,K,GK,29,Belgium,Real Madrid
Ansu Fati,220384.61538461538,11460000,105769.23076923077,5500000,183627.32692307694,9548621,88128.28846153847,4582671,249502.34615384616,12974122,119743.71153846153,6226673,6-yrs,68760000,33000000,57291724,27496028,77844729,37360036,Reserve,F,LW,19,Spain,Barcelona
Ferran Torres,211538.46153846153,11000000,101538.46153846153,5280000,176256.59615384616,9165343,84603.15384615384,4399364,239487.40384615384,12453345,114953.96153846153,5977606,6-yrs,66000000,31680000,54992056,26396187,74720072,35865634,Starter,F,RW,21,Spain,Barcelona
Memphis Depay,200384.61538461538,10420000,96153.84615384616,5000000,166963.0576923077,8682079,80116.63461538461,4166065,226859.88461538462,11796714,108857.92307692308,5660612,2-yrs,20840000,10000000,17364158,8332130,23593429,11321223,Reserve,F,CF,27,Netherlands,Barcelona
Gerard Piqué,200384.61538461538,10420000,96153.84615384616,5000000,166963.0576923077,8682079,80116.63461538461,4166065,226859.88461538462,11796714,108857.92307692308,5660612,3-yrs,31260000,15000000,26046237,12498195,35390143,16981834,Starter,D,CB,35,Spain,Barcelona
Casemiro,189423.07692307694,9850000,90961.53846153847,4730000,157829.76923076922,8207148,75790.32692307692,3941097,214450.09615384616,11151405,102979.57692307692,5354938,4-yrs,39400000,18920000,32828591,15764389,44605619,21419754,Reserve,M,DM,29,Brazil,Real Madrid
Marco Asensio,189038.46153846153,9830000,90769.23076923077,4720000,157509.28846153847,8190483,75630.09615384616,3932765,214014.65384615384,11128762,102761.86538461539,5343617,2-yrs,19660000,9440000,16380967,7865530,22257524,10687235,Starter,F,RW,26,Spain,Real Madrid
Luka Jovic,180384.61538461538,9380000,86538.46153846153,4500000,150298.8076923077,7815538,72104.96153846153,3749458,204217.4423076923,10619307,97972.11538461539,5094550,4-yrs,37520000,18000000,31262151,14997833,42477229,20378201,Reserve,F,CF,24,Serbia,Real Madrid
Ferland Mendy,180384.61538461538,9380000,86538.46153846153,4500000,150298.8076923077,7815538,72104.96153846153,3749458,204217.4423076923,10619307,97972.11538461539,5094550,4-yrs,37520000,18000000,31262151,14997833,42477229,20378201,Reserve,D,LB,26,France,Real Madrid
Pedri,180384.61538461538,9380000,86538.46153846153,4500000,150298.8076923077,7815538,72104.96153846153,3749458,204217.4423076923,10619307,97972.11538461539,5094550,5-yrs,46900000,22500000,39077688,18747292,53096536,25472752,Starter,M,CM,19,Spain,Barcelona
Éder Militão,180384.61538461538,9380000,86538.46153846153,4500000,150298.8076923077,7815538,72104.96153846153,3749458,204217.4423076923,10619307,97972.11538461539,5094550,4-yrs,37520000,18000000,31262151,14997833,42477229,20378201,Starter,D,CB,24,Brazil,Real Madrid
Dani Parejo,180384.61538461538,9380000,86538.46153846153,4500000,150298.8076923077,7815538,72104.96153846153,3749458,204217.4423076923,10619307,97972.11538461539,5094550,3-yrs,28140000,13500000,23446613,11248375,31857922,15283651,Starter,M,CM,32,Spain,Villarreal
Daniel Carvajal,176730.76923076922,9190000,84807.69230769231,4410000,147254.36538461538,7657227,70662.86538461539,3674469,200080.84615384616,10404204,96012.67307692308,4992659,4-yrs,36760000,17640000,30628909,14697877,41616816,19970637,Starter,D,RB,30,Spain,Real Madrid
Marc-André ter Stegen,173076.92307692306,9000000,83076.92307692308,4320000,144209.9423076923,7498917,69220.76923076923,3599480,195944.25,10189101,94053.23076923077,4890768,4-yrs,36000000,17280000,29995667,14397920,40756403,19563073,Starter,K,GK,29,Germany,Barcelona
Sergi Roberto,173076.92307692306,9000000,83076.92307692308,4320000,144209.9423076923,7498917,69220.76923076923,3599480,195944.25,10189101,94053.23076923077,4890768,1-yr,9000000,4320000,7498917,3599480,10189101,4890768,Reserve,M,CM,29,Spain,Barcelona
Lucas Vázquez,162307.6923076923,8440000,77884.61538461539,4050000,135236.86538461538,7032317,64894.480769230766,3374513,183752.15384615384,9555112,88174.90384615384,4585095,3-yrs,25320000,12150000,21096952,10123538,28665337,13755286,Reserve,D,RB,30,Spain,Real Madrid
Federico Valverde,160192.3076923077,8330000,76923.07692307692,4000000,133474.3076923077,6940664,64093.307692307695,3332852,181357.28846153847,9430579,87086.32692307692,4528489,6-yrs,49980000,24000000,41643984,19997111,56583473,27170935,Starter,M,CM,23,Uruguay,Real Madrid
Eduardo Camavinga,160192.3076923077,8330000,76923.07692307692,4000000,133474.3076923077,6940664,64093.307692307695,3332852,181357.28846153847,9430579,87086.32692307692,4528489,6-yrs,49980000,24000000,41643984,19997111,56583473,27170935,Reserve,M,CM,19,France,Real Madrid
Raúl García,160000,8320000,76730.76923076923,3990000,133314.07692307694,6932332,63933.07692307692,3324520,181139.57692307694,9419258,86868.61538461539,4517168,2-yrs,16640000,7980000,13864664,6649040,18838515,9034336,Starter,F,CF,35,Spain,Athletic Club
Nacho Fernández,147884.61538461538,7690000,70961.53846153847,3690000,123219.38461538461,6407408,59126.07692307692,3074556,167423.46153846153,8706020,80337.13461538461,4177531,2-yrs,15380000,7380000,12814815,6149112,17412041,8355063,Starter,D,CB,32,Spain,Real Madrid
Yannick Carrasco,145384.61538461538,7560000,69807.69230769231,3630000,121136.34615384616,6299090,58164.67307692308,3024563,164593.17307692306,8558845,79030.84615384616,4109604,3-yrs,22680000,10890000,18897270,9073689,25676534,12328812,Starter,F,LW,28,Belgium,Atletico Madrid
Felipe,145384.61538461538,7560000,69807.69230769231,3630000,121136.34615384616,6299090,58164.67307692308,3024563,164593.17307692306,8558845,79030.84615384616,4109604,1-yr,7560000,3630000,6299090,3024563,8558845,4109604,Reserve,D,CB,32,Brazil,Atletico Madrid
Rodrygo,144230.76923076922,7500000,69230.76923076923,3600000,120174.94230769231,6249097,57683.980769230766,2999567,163286.86538461538,8490917,78377.69230769231,4075640,4-yrs,30000000,14400000,24996389,11998267,33963669,16302561,Starter,F,RW,21,Brazil,Real Madrid
Mariano Díaz,144230.76923076922,7500000,69230.76923076923,3600000,120174.94230769231,6249097,57683.980769230766,2999567,163286.86538461538,8490917,78377.69230769231,4075640,2-yrs,15000000,7200000,12498195,5999133,16981834,8151281,Reserve,F,CF,28,Dominican Republic,Real Madrid
Óliver Torres,143269.23076923078,7450000,68846.15384615384,3580000,119373.78846153847,6207437,57363.5,2982902,162198.28846153847,8434311,77942.26923076923,4052998,3-yrs,22350000,10740000,18622310,8948707,25302933,12158994,Starter,M,CM,27,Spain,Sevilla
