Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
1,Luis Abram,pe PER,DF,Granada,26-021,1996,6.2,7,6,5,1,1,3,4,75.0,1,35,13,37.1,14,20,1,13,5,2,8,11,18,39,1,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,30-143,1991,18.5,43,27,23,10,10,18,25,72.0,7,201,68,33.8,81,84,36,25,2,0,23,22,65,26,0,Matches
3,Martin Agirregabiria,es ESP,DF,Alavés,25-314,1996,16.2,38,19,19,11,8,22,39,56.4,17,192,53,27.6,85,81,26,27,3,0,24,23,61,41,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21-084,2000,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33-291,1988,1.7,1,1,0,0,1,0,1,0.0,1,18,4,22.2,0,8,10,0,0,0,0,0,1,0,0,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-045,2000,0.1,1,1,0,0,1,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,1,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-172,1995,19.3,35,25,27,6,2,12,21,57.1,9,204,82,40.2,136,63,5,38,15,0,23,37,72,84,2,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,29-008,1993,13.1,24,13,18,4,2,7,19,36.8,12,173,56,32.4,101,52,20,22,6,0,16,36,60,34,0,Matches
9,Ilias Akhomach,es ESP,FW,Barcelona,17-338,2004,1.4,2,0,0,1,1,0,0,,0,7,1,14.3,1,1,5,1,0,0,1,0,2,0,0,Matches
10,Paul Akouokou,ci CIV,MF,Betis,24-090,1997,3.7,11,7,4,5,2,4,7,57.1,3,70,23,32.9,23,38,9,5,0,0,5,8,19,8,0,Matches
