Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,21-084,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,Matches
2,Sergio Asenjo,es ESP,GK,Villarreal,32-265,1989,3,3,270,3.0,5,1.67,10,6,60.0,2,1,0,0,0.0,1,1,0,0,0.0,Matches
3,Édgar Badía,es ESP,GK,Elche,30-036,1992,17,17,1530,17.0,25,1.47,76,57,75.0,6,4,7,3,17.6,8,6,1,1,14.3,Matches
4,Yassine Bounou,ma MAR,GK,Sevilla,30-349,1991,23,23,2070,23.0,13,0.57,60,47,80.0,12,9,2,12,52.2,2,1,1,0,50.0,Matches
5,Claudio Bravo,cl CHI,GK,Betis,38-341,1983,11,11,990,11.0,17,1.55,42,28,61.9,6,1,4,2,18.2,1,1,0,0,0.0,Matches
6,Cárdenas,es ESP,GK,Levante,24-357,1997,16,16,1440,16.0,29,1.81,68,41,61.8,2,5,9,4,25.0,3,3,0,0,0.0,Matches
7,Kiko Casilla,es ESP,GK,Elche,35-169,1986,12,12,1080,12.0,15,1.25,54,39,72.2,2,4,6,3,25.0,0,0,0,0,,Matches
8,Jasper Cillessen,nl NED,GK,Valencia,32-332,1989,15,15,1277,14.2,26,1.83,64,42,65.6,4,7,4,3,20.0,5,4,1,0,20.0,Matches
9,Diego Conde,es ESP,GK,Getafe,23-143,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
10,Thibaut Courtois,be BEL,GK,Real Madrid,29-313,1992,28,28,2520,28.0,21,0.75,88,69,78.4,20,6,2,12,42.9,3,2,1,0,33.3,Matches
11,Javier Díaz,es ESP,GK,Sevilla,24-309,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
12,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-085,1993,22,21,1962,21.8,25,1.15,76,57,75.0,9,4,8,6,28.6,8,6,2,0,25.0,Matches
13,Matías Dituro,ar ARG,GK,Celta Vigo,34-316,1987,28,28,2520,28.0,32,1.14,102,73,70.6,9,8,11,10,35.7,5,2,3,0,60.0,Matches
14,Marko Dmitrović,rs SRB,GK,Sevilla,30-055,1992,4,4,360,4.0,5,1.25,15,10,66.7,3,1,0,2,50.0,0,0,0,0,,Matches
15,Jaume Doménech,es ESP,GK,Valencia,31-135,1990,3,2,253,2.8,4,1.42,8,5,50.0,1,0,1,0,0.0,0,0,0,0,,Matches
16,Aarón Escandell,es ESP,GK,Granada,26-174,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,Matches
17,Aitor Fernández,es ESP,GK,Levante,30-321,1991,13,13,1166,13.0,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50.0,Matches
18,Joan García,es ESP,GK,Espanyol,20-320,2001,2,1,108,1.2,3,2.50,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
19,Dominik Greif,sk SVK,GK,Mallorca,24-348,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
20,Sergio Herrera,es ESP,GK,Osasuna,28-288,1993,28,28,2520,28.0,34,1.21,96,65,67.7,10,8,10,11,39.3,4,3,1,0,25.0,Matches
21,Jeremías Ledesma,ar ARG,GK,Cádiz,29-035,1993,28,28,2520,28.0,41,1.46,119,84,72.3,4,12,12,8,28.6,9,8,1,0,11.1,Matches
22,Diego López,es ESP,GK,Espanyol,40-137,1981,27,27,2412,26.8,38,1.42,116,81,69.0,8,9,10,7,25.9,2,2,0,0,0.0,Matches
23,Giorgi Mamardashvili,ge GEO,GK,Valencia,21-172,2000,12,12,1080,12.0,13,1.08,48,36,75.0,5,3,4,6,50.0,1,1,0,0,0.0,Matches
24,Luís Maximiano,pt POR,GK,Granada,23-074,1999,25,25,2236,24.8,39,1.57,126,92,72.2,6,8,11,4,16.0,6,4,2,0,33.3,Matches
25,Neto,br BRA,GK,Barcelona,32-244,1989,2,2,180,2.0,3,1.50,9,6,66.7,1,1,0,0,0.0,0,0,0,0,,Matches
26,Jan Oblak,si SVN,GK,Atlético Madrid,29-072,1993,29,29,2610,29.0,36,1.24,71,41,56.3,16,6,7,9,31.0,6,5,1,0,16.7,Matches
27,Jesús Owono,gq EQG,GK,Alavés,21-019,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
28,Fernando Pacheco,es ESP,GK,Alavés,29-306,1992,26,26,2333,25.9,44,1.70,102,61,59.8,5,5,16,5,19.2,5,3,2,0,40.0,Matches
29,Juan Pérez,es ESP,GK,Osasuna,25-248,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
30,Manolo Reina,es ESP,GK,Mallorca,36-353,1985,18,18,1620,18.0,25,1.39,64,40,64.1,4,8,6,6,33.3,3,2,1,0,33.3,Matches
31,Álex Remiro,es ESP,GK,Real Sociedad,26-361,1995,25,25,2250,25.0,24,0.96,77,55,72.7,11,8,6,15,60.0,4,3,1,0,25.0,Matches
32,Sergio Rico,es ESP,GK,Mallorca,28-200,1993,7,7,630,7.0,15,2.14,28,16,57.1,2,0,5,0,0.0,3,3,0,0,0.0,Matches
33,Leonardo Román,es ESP,GK,Mallorca,21-257,2000,2,2,180,2.0,5,2.50,13,10,69.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches
34,Gerónimo Rulli,ar ARG,GK,Villarreal,29-304,1992,25,25,2250,25.0,21,0.84,74,54,75.7,10,8,7,12,48.0,4,3,1,0,25.0,Matches
35,Mathew Ryan,au AUS,GK,Real Sociedad,29-346,1992,3,3,270,3.0,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0.0,Matches
36,Rui Silva,pt POR,GK,Betis,28-041,1994,17,17,1530,17.0,18,1.06,54,38,70.4,9,3,5,5,29.4,2,2,0,0,0.0,Matches
37,Unai Simón,es ESP,GK,Athletic Club,24-282,1997,25,25,2250,25.0,23,0.92,78,54,74.4,9,9,7,9,36.0,3,3,0,0,0.0,Matches
38,Antonio Sivera,es ESP,GK,Alavés,25-221,1996,3,2,187,2.1,3,1.44,9,7,77.8,0,1,1,1,50.0,1,1,0,0,0.0,Matches
39,David Soria,es ESP,GK,Getafe,28-350,1993,29,29,2604,28.9,33,1.14,97,64,68.0,6,11,12,9,31.0,4,2,1,1,33.3,Matches
40,Marc-André ter Stegen,de GER,GK,Barcelona,29-324,1992,25,25,2250,25.0,26,1.04,76,50,65.8,13,8,4,7,28.0,0,0,0,0,,Matches
41,Rúben Vezo,pt POR,DF,Levante,27-329,1994,1,1,4,20.8,0,0.00,0,0,,0,1,0,0,0.0,0,0,0,0,,Matches
42,Luca Zidane,fr FRA,GKMF,Rayo Vallecano,23-311,1998,7,7,555,6.2,9,1.46,31,22,71.0,0,1,6,0,0.0,0,0,0,0,,Matches
