Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
1,Luis Abram,pe PER,DF,Granada,26-021,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,30-143,1991,24,19,1665,18.5,1,3,1,0,0,6,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,Matches
3,Martin Agirregabiria,es ESP,DF,Alavés,25-314,1996,18,16,1457,16.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21-084,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33-291,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-045,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-172,1995,22,20,1738,19.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,29-008,1993,16,13,1178,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
9,Ilias Akhomach,es ESP,FW,Barcelona,17-338,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
10,Paul Akouokou,ci CIV,MF,Betis,24-090,1997,6,4,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
