name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Lionel Messi,1223846.1538461538,63640000,673076.9230769231,35000000,1019724.4807692308,53025673,560816.4230769231,29162454,1385543.5192307692,72048263,762005.3846153846,39624280,2-yrs,127280000,70000000,106051347,58324908,144096526,79248561,Starter,F,RW,34,Argentina,PSG
Neymar,1083846.1538461538,56360000,596153.8461538461,31000000,903074.6730769231,46959883,496723.1153846154,25829602,1227046.4038461538,63806413,674919.0576923077,35095791,4-yrs,225440000,124000000,187839532,103318408,255225651,140383165,Starter,F,LW,29,Brazil,PSG
Kylian Mbappé,617115.3846153846,32090000,339423.07692307694,17650000,514188.53846153844,26737804,282811.71153846156,14706209,698650.0961538461,36329805,384268.4423076923,19981959,1-yr,32090000,17650000,26737804,14706209,36329805,19981959,Starter,F,CF,23,France,PSG
Sergio Ramos,524423.0769230769,27270000,288461.53846153844,15000000,436956.1153846154,22721718,240349.90384615384,12498195,593711.0576923077,30872975,326573.73076923075,16981834,2-yrs,54540000,30000000,45443435,24996389,61745950,33963669,Reserve,D,CB,35,Spain,PSG
Presnel Kimpembe,349615.3846153846,18180000,192307.6923076923,10000000,291304.07692307694,15147812,160233.26923076922,8332130,395807.3653846154,20581983,217715.82692307694,11321223,3-yrs,54540000,30000000,45443435,24996389,61745950,33963669,Starter,D,CB,26,France,PSG
Gianluigi Donnarumma,349615.3846153846,18180000,192307.6923076923,10000000,291304.07692307694,15147812,160233.26923076922,8332130,395807.3653846154,20581983,217715.82692307694,11321223,5-yrs,90900000,50000000,75739059,41660648,102909917,56606115,Starter,K,GK,22,Italy,PSG
Georginio Wijnaldum,332115.3846153846,17270000,182692.3076923077,9500000,276722.8461538461,14389588,152221.59615384616,7915523,375995.23076923075,19551752,206830.03846153847,10755162,3-yrs,51810000,28500000,43168764,23746570,58655256,32265486,Reserve,M,CM,31,Netherlands,PSG
Achraf Hakimi,279807.6923076923,14550000,153846.15384615384,8000000,233139.40384615384,12123249,128186.61538461539,6665704,316776.51923076925,16472379,174172.65384615384,9056978,5-yrs,72750000,40000000,60616244,33328519,82361897,45284892,Starter,D,RB,23,Morocco,PSG
Marco Verratti,276923.07692307694,14400000,152307.6923076923,7920000,230735.90384615384,11998267,126904.75,6599047,313510.78846153844,16302561,172430.9423076923,8966409,3-yrs,43200000,23760000,35994800,19797140,48907683,26899226,Starter,M,CM,29,Italy,PSG
Marquinhos,276923.07692307694,14400000,152307.6923076923,7920000,230735.90384615384,11998267,126904.75,6599047,313510.78846153844,16302561,172430.9423076923,8966409,3-yrs,43200000,23760000,35994800,19797140,48907683,26899226,Starter,D,CB,27,Brazil,PSG
Ángel Di María,253846.15384615384,13200000,139615.38461538462,7260000,211507.90384615384,10998411,116329.34615384616,6049126,287384.8846153846,14944014,158061.6923076923,8219208,1-yr,13200000,7260000,10998411,6049126,14944014,8219208,Reserve,F,RW,33,Argentina,PSG
Tanguy Ndombélé,237307.6923076923,12340000,130576.92307692308,6790000,197727.84615384616,10281848,108798.38461538461,5657516,268661.32692307694,13970389,147829.03846153847,7687110,1-yr,12340000,6790000,10281848,5657516,13970389,7687110,Reserve,M,CM,25,France,Lyon
Keylor Navas,230769.23076923078,12000000,126923.07692307692,6600000,192279.92307692306,9998556,105753.96153846153,5499206,261259,13585468,143692.4423076923,7472007,3-yrs,36000000,19800000,29995667,16497617,40756403,22416022,Reserve,K,GK,35,Costa Rica,PSG
Mauro Icardi,184615.38461538462,9600000,101538.46153846153,5280000,153823.9423076923,7998845,84603.15384615384,4399364,209007.1923076923,10868374,114953.96153846153,5977606,3-yrs,28800000,15840000,23996534,13198093,32605122,17932817,Reserve,F,CF,28,Argentina,PSG
Leandro Paredes,173076.92307692306,9000000,95192.30769230769,4950000,144209.9423076923,7498917,79315.46153846153,4124404,195944.25,10189101,107769.32692307692,5604005,2-yrs,18000000,9900000,14997833,8248808,20378201,11208011,Starter,M,DM,27,Argentina,PSG
Juan Bernat,161538.46153846153,8400000,88846.15384615384,4620000,134595.9423076923,6998989,74027.76923076923,3849444,182881.28846153847,9509827,100584.71153846153,5230405,4-yrs,33600000,18480000,27995956,15397776,38039309,20921620,Reserve,D,LB,28,Spain,PSG
Mario Lemina,157307.6923076923,8180000,86538.46153846153,4500000,131070.80769230769,6815682,72104.96153846153,3749458,178091.53846153847,9260760,97972.11538461539,5094550,3-yrs,24540000,13500000,20447046,11248375,27782281,15283651,Starter,M,DM,28,Gabon,Nice
Wissam Ben Yedder,150000,7800000,130576.92307692308,6790000,124981.94230769231,6499061,108798.38461538461,5657516,169818.34615384616,8830554,147829.03846153847,7687110,3-yrs,23400000,20370000,19497183,16972548,26491662,23061331,Starter,F,CF,31,France,Monaco
Ander Herrera,150000,7800000,82500,4290000,124981.94230769231,6499061,68740.07692307692,3574484,169818.34615384616,8830554,93400.09615384616,4856805,3-yrs,23400000,12870000,19497183,10723451,26491662,14570414,Reserve,M,CM,32,Spain,PSG
Julian Draxler,138461.53846153847,7200000,76153.84615384616,3960000,115367.94230769231,5999133,63452.36538461538,3299523,156755.40384615384,8151281,86215.46153846153,4483204,3-yrs,21600000,11880000,17997400,9898570,24453842,13449613,Reserve,F,LW,28,Germany,PSG
Cesc Fàbregas,138461.53846153847,7200000,120384.61538461539,6260000,115367.94230769231,5999133,100306.01923076923,5215913,156755.40384615384,8151281,136290.11538461538,7087086,1-yr,7200000,6260000,5999133,5215913,8151281,7087086,Reserve,M,CM,34,Spain,Monaco
