Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,3.4,3.9,0.01,0.09,0.11,0.01,0.11,Matches,36.0,64,36,40,17,7,21,45,46.7,24,487,132,27.1,283,142,62,100,30,2,70,20,84,86,0,,,,,,,,,,,,,,,,1316,1684,78.1,20293,6834,733,820,89.4,475,596,79.7,78,174,44.8,1,3.4,-2.4,24,43,32,13,77,356,27003.903846153848,1404203,14771.365384615385,768111,22500.0,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723.0,869596,3-yrs,4212609,2304333,3510000,1920000,4769188,2608787,Starter,D,RB,22,England,Norwich
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28.0,3,0,3,0,0,0,0,0.11,0.0,0.11,0.11,0.11,1.3,1.3,0.1,1.5,0.05,0.0,0.05,0.05,0.05,Matches,28.0,61,37,43,16,2,14,28,50.0,14,299,111,37.1,189,97,13,43,19,0,24,24,85,166,1,,,,,,,,,,,,,,,,1328,1515,87.7,29512,9038,331,355,93.2,715,777,92.0,273,360,75.8,0,0.1,-0.1,2,45,3,0,80,238,9230.76923076923,480000,5000.0,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,1-yr,480000,260000,399942,216635,543419,294352,Starter,D,CB,34,Morocco,Reims
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,0,0,1,0,0.57,0.0,0.57,0.57,0.57,1.3,1.3,0.2,1.4,0.72,0.1,0.82,0.72,0.82,Matches,1.7,1,1,1,0,0,1,3,33.3,2,25,9,36.0,9,11,5,3,1,0,2,1,2,2,0,,,,,,,,,,,,,,,,18,40,45.0,316,132,12,20,60.0,4,12,33.3,2,3,66.7,0,0.2,-0.2,1,2,2,1,3,301,9230.76923076923,480000,4807.692307692308,250000,7691.192307692308,399942,4005.826923076923,208303,10450.365384615385,543419,5442.903846153846,283031,1-yr,480000,250000,399942,208303,543419,283031,Reserve,F,CF,25,Nigeria,Union Berlin
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,16.6,0.57,0.1,0.67,0.57,0.67,Matches,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,170,241,23,5,0,18,5,19,26,0,,,,,,,,,,,,,,,,288,412,69.9,4213,811,159,222,71.6,77,101,76.2,26,35,74.3,3,2.5,0.5,18,16,5,0,31,33,110961.53846153848,5770000,86538.46153846153,4500000,92454.59615384616,4807639,72104.96153846153,3749458,125622.03846153848,6532346,97972.1153846154,5094550,5-yrs,28850000,22500000,24038194,18747292,32661728,25472752,Starter,F,CF,24,England,Roma
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,2,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,3.6,0.06,0.05,0.1,0.06,0.1,Matches,35.1,52,33,36,10,6,13,26,50.0,13,320,115,35.9,213,81,26,61,30,0,31,28,80,165,2,,,,,,,,,,,,,,,,1809,2011,90.0,41350,12495,519,558,93.0,884,937,94.3,390,481,81.1,2,1.6,0.4,7,138,14,3,119,49,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Reserve,D,CB,33,Italy,Lazio
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches,10.6,23,12,13,8,2,9,30,30.0,21,194,60,30.9,79,88,27,22,1,0,21,7,30,16,0,,,,,,,,,,,,,,,,595,699,85.1,9793,2653,292,325,89.8,242,276,87.7,49,69,71.0,0,0.5,-0.5,6,30,8,2,38,193,19230.76923076923,1000000,10192.307692307691,530000,16023.326923076924,833213,8492.365384615385,441603,21771.57692307692,1132122,11538.942307692309,600025,4-yrs,4000000,2120000,3332852,1766411,4528489,2400099,Reserve,M,DM,22,United States,Leipzig
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,4,0,46,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.11,0.11,0.0,0.11,Matches,0.5,0,0,0,0,0,0,3,0.0,3,17,4,23.5,6,10,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,21,27,77.8,336,127,12,12,100.0,7,9,77.8,2,6,33.3,0,0.1,-0.1,2,4,1,0,4,178,21346.153846153848,1110000,11346.153846153846,590000,17785.884615384617,924866,9453.76923076923,491596,24166.46153846154,1256656,12845.23076923077,667952,5-yrs,5550000,2950000,4624332,2457978,6283279,3339761,Reserve,F,RW,21,France,Bayer Leverkusen
18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,21,11,1020,11.3,3,3,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,0.9,0.9,2.0,2.9,0.08,0.18,0.26,0.08,0.26,Matches,11.3,27,18,6,15,6,10,31,32.3,21,328,86,26.2,72,166,90,11,0,0,11,9,36,4,0,,,,,,,,,,,,,,,,460,581,79.2,8420,1964,216,250,86.4,178,215,82.8,59,99,59.6,3,2.0,1.0,18,50,8,0,55,159,15961.53846153846,830000,8846.153846153846,460000,13299.365384615385,691567,7370.7307692307695,383278,18070.42307692308,939662,10014.923076923076,520776,1-yr,830000,460000,691567,383278,939662,520776,Starter,F,AM,21,France,Bordeaux
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2,10.0,1.03,28.0,17.0,64.3,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,,227,314,72.3,6819,3815,30,30,100.0,104,106,98.1,91,174,52.3,0,0.0,0.0,0,3,0,0,0,178,69702.38461538461,3624524,38313.230769230766,1992288,58076.92307692308,3020000,31923.07692307692,1660000,78911.61538461539,4103404,43375.25,2255513,1-yr,3624524,1992288,3020000,1660000,4103404,2255513,Reserve,K,GK,35,Spain,Liverpool
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08,Matches,0.8,4,3,1,1,2,1,1,100.0,0,15,2,13.3,4,7,4,3,1,0,2,1,5,1,0,,,,,,,,,,,,,,,,36,39,92.3,671,201,16,17,94.1,16,18,88.9,4,4,100.0,0,0.1,-0.1,1,4,2,1,5,248,8653.846153846154,450000,4807.692307692308,250000,7210.5,374946,4005.826923076923,208303,9797.21153846154,509455,5442.903846153846,283031,1-yr,450000,250000,374946,208303,509455,283031,Reserve,M,DM,19,France,Brest
