Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
1,Alisson,br BRA,GK,Liverpool,29-169,1992,27,27,2430,27.0,18,0.67,73,55,75.3,20,5,2,16,59.3,0,0,0,0,,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,29-021,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-168,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches
4,Daniel Bachmann,at AUT,GK,Watford,27-254,1994,11,11,990,11.0,26,2.36,61,39,62.3,1,0,10,0,0.0,3,3,0,0,0.0,Matches
5,Asmir Begović,ba BIH,GK,Everton,34-273,1987,2,2,180,2.0,3,1.50,9,7,66.7,1,0,1,1,50.0,0,0,0,0,,Matches
6,Jack Butland,eng ENG,GK,Crystal Palace,29-010,1993,6,5,495,5.5,9,1.64,16,9,43.8,1,3,1,0,0.0,1,0,1,0,100.0,Matches
7,Willy Caballero,ar ARG,GK,Southampton,40-173,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches
8,Karl Darlow,eng ENG,GK,Newcastle Utd,31-163,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches
9,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-064,1989,17,17,1530,17.0,22,1.29,66,44,68.2,7,4,6,4,23.5,1,1,0,0,0.0,Matches
10,Ederson,br BRA,GK,Manchester City,28-215,1993,28,28,2520,28.0,18,0.64,64,45,73.4,21,4,3,16,57.1,1,1,0,0,0.0,Matches
11,Łukasz Fabiański,pl POL,GK,West Ham,36-336,1985,28,28,2520,28.0,35,1.25,115,77,71.3,14,6,8,7,25.0,3,2,1,0,33.3,Matches
12,Álvaro Fernández,es ESP,GK,Brentford,23-341,1998,12,12,1080,12.0,24,2.00,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0,Matches
13,Fraser Forster,eng ENG,GK,Southampton,34-003,1988,12,12,1080,12.0,19,1.58,54,38,68.5,5,3,4,2,16.7,2,2,0,0,0.0,Matches
14,Ben Foster,eng ENG,GK,Watford,38-351,1983,18,18,1620,18.0,29,1.61,69,40,58.0,5,4,9,3,16.7,1,0,1,0,100.0,Matches
15,David de Gea,es ESP,GK,Manchester Utd,31-133,1990,29,29,2610,29.0,40,1.38,138,101,72.5,14,8,7,7,24.1,5,2,3,0,60.0,Matches
16,Vicente Guaita,es ESP,GK,Crystal Palace,35-069,1987,24,24,2115,23.5,29,1.23,94,68,72.3,6,10,8,8,33.3,3,3,0,0,0.0,Matches
17,Angus Gunn,eng ENG,GK,Norwich City,26-057,1996,7,7,630,7.0,18,2.57,42,26,61.9,1,1,5,1,14.3,4,2,1,1,33.3,Matches
18,Wayne Hennessey,wls WAL,GK,Burnley,35-055,1987,2,2,180,2.0,6,3.00,13,7,53.8,0,0,2,0,0.0,0,0,0,0,,Matches
19,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-117,1998,2,2,180,2.0,2,1.00,8,5,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
20,Kristoffer Klaesson,no NOR,GK,Leeds United,21-113,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,Matches
21,Tim Krul,nl NED,GK,Norwich City,33-351,1988,22,22,1980,22.0,45,2.05,113,73,65.5,3,4,15,3,13.6,7,6,1,0,14.3,Matches
22,Bernd Leno,de GER,GK,Arsenal,30-016,1992,4,4,360,4.0,9,2.25,19,9,52.6,1,0,3,1,25.0,0,0,0,0,,Matches
23,Hugo Lloris,fr FRA,GK,Tottenham,35-084,1986,28,28,2520,28.0,35,1.25,108,76,69.4,15,3,10,11,39.3,2,2,0,0,0.0,Matches
24,Jonas Lössl,dk DEN,GK,Brentford,33-047,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Matches
25,Emiliano Martínez,ar ARG,GK,Aston Villa,29-199,1992,28,28,2520,28.0,37,1.32,104,70,67.3,11,3,14,9,32.1,5,3,1,1,25.0,Matches
26,Alex McCarthy,eng ENG,GK,Southampton,32-107,1989,15,15,1350,15.0,21,1.40,60,38,65.0,3,7,5,5,33.3,0,0,0,0,,Matches
27,Edouard Mendy,sn SEN,GK,Chelsea,30-019,1992,24,24,2160,24.0,17,0.71,67,55,82.1,15,7,2,11,45.8,5,5,0,0,0.0,Matches
28,Illan Meslier,fr FRA,GK,Leeds United,22-018,2000,30,30,2664,29.6,67,2.26,173,109,64.2,7,8,15,3,10.0,5,5,0,0,0.0,Matches
29,Jordan Pickford,eng ENG,GK,Everton,28-013,1994,25,25,2250,25.0,44,1.76,123,83,65.0,6,4,15,4,16.0,1,1,0,0,0.0,Matches
30,Nick Pope,eng ENG,GK,Burnley,29-335,1992,25,25,2250,25.0,32,1.28,104,72,70.2,3,12,10,7,28.0,1,1,0,0,0.0,Matches
31,Aaron Ramsdale,eng ENG,GK,Arsenal,23-310,1998,24,24,2160,24.0,22,0.92,89,66,78.7,16,3,5,12,50.0,3,3,0,0,0.0,Matches
32,David Raya,es ESP,GK,Brentford,26-186,1995,15,15,1350,15.0,16,1.07,64,49,76.6,5,4,6,5,33.3,1,1,0,0,0.0,Matches
33,José Sá,pt POR,GK,Wolves,29-062,1993,30,30,2700,30.0,26,0.87,118,98,82.2,14,4,12,11,36.7,5,5,0,0,0.0,Matches
34,Robert Sánchez,es ESP,GK,Brighton,24-122,1997,28,28,2519,28.0,34,1.21,114,82,72.8,7,12,9,7,25.0,4,3,0,1,0.0,Matches
35,Kasper Schmeichel,dk DEN,GK,Leicester City,35-135,1986,26,26,2340,26.0,45,1.73,128,90,69.5,9,6,11,5,19.2,8,6,1,1,14.3,Matches
36,Jason Steele,eng ENG,GK,Brighton,31-214,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
37,Jed Steer,eng ENG,GK,Aston Villa,29-178,1992,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
38,Zack Steffen,us USA,GK,Manchester City,26-352,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
39,Freddie Woodman,eng ENG,GK,Newcastle Utd,25-016,1997,4,4,360,4.0,12,3.00,19,9,47.4,0,1,3,0,0.0,3,2,1,0,33.3,Matches
