,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Max Aarons,eng ENG,DF,Norwich City,22-075,2000,26.6,903,1204,75.0,15216,5823,463,513,90.3,349,457,76.4,81,185,43.8,1,1.0,0.0,14,42,31,7,82,Matches
2,Che Adams,sct SCO,FW,Southampton,25-250,1996,18.3,247,364,67.9,3649,791,146,188,77.7,73,99,73.7,15,33,45.5,3,2.2,+0.8,18,12,10,1,26,Matches
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-287,2001,15.3,562,758,74.1,9665,3341,290,318,91.2,213,272,78.3,56,133,42.1,2,1.2,+0.8,15,19,12,7,30,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23-337,1998,14.9,391,561,69.7,7059,3321,157,192,81.8,187,248,75.4,38,86,44.2,2,0.8,+1.2,3,30,7,1,47,Matches
5,Nathan Aké,nl NED,DF,Manchester City,27-030,1995,7.5,545,590,92.4,9989,2935,231,242,95.5,260,280,92.9,50,61,82.0,0,0.5,-0.5,2,46,3,0,22,Matches
6,Marc Albrighton,eng ENG,FWDF,Leicester City,32-122,1989,11.1,271,439,61.7,4303,1864,167,196,85.2,80,124,64.5,18,87,20.7,1,1.3,-0.3,9,16,8,3,20,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30-343,1991,11.2,824,929,88.7,17191,4876,292,321,91.0,379,410,92.4,144,178,80.9,2,1.6,+0.4,17,119,12,0,115,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-164,1998,25.7,1610,2163,74.4,35385,14584,601,680,88.4,629,787,79.9,360,625,57.6,11,9.6,+1.4,76,176,73,18,238,Matches
9,Alisson,br BRA,GK,Liverpool,29-169,1992,27.0,872,1008,86.5,23180,12892,135,137,98.5,501,507,98.8,234,362,64.6,1,0.4,+0.6,2,12,0,0,0,Matches
10,Allan,br BRA,MF,Everton,31-071,1991,21.5,700,887,78.9,13605,4057,258,301,85.7,328,389,84.3,96,150,64.0,2,0.9,+1.1,15,92,19,2,103,Matches
11,Dele Alli,eng ENG,MF,Everton,25-343,1996,1.9,69,93,74.2,1063,280,33,42,78.6,23,29,79.3,6,11,54.5,0,0.3,-0.3,5,7,2,0,9,Matches
12,Dele Alli,eng ENG,MFFW,Tottenham,25-343,1996,7.3,167,214,78.0,2687,651,94,108,87.0,56,69,81.2,14,27,51.9,0,0.8,-0.8,2,13,5,0,19,Matches
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,28-038,1994,12.6,259,332,78.0,4039,979,145,165,87.9,86,110,78.2,21,34,61.8,0,0.5,-0.5,12,14,6,2,22,Matches
14,Marcos Alonso,es ESP,DF,Chelsea,31-082,1990,16.1,682,898,75.9,12047,4437,327,372,87.9,273,334,81.7,66,146,45.2,3,2.8,+0.2,26,44,18,9,67,Matches
15,Steven Alzate,co COL,MF,Brighton,23-193,1998,4.5,207,234,88.5,3619,900,92,102,90.2,85,90,94.4,24,32,75.0,0,0.2,-0.2,3,17,3,1,17,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,27-089,1994,15.7,795,876,90.8,16179,4805,241,254,94.9,438,465,94.2,109,137,79.6,0,0.1,-0.1,2,23,0,0,33,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25-293,1996,23.4,1290,1549,83.3,33175,9937,236,266,88.7,682,729,93.6,368,543,67.8,1,1.1,-0.1,11,100,6,2,61,Matches
18,Michail Antonio,jm JAM,FW,West Ham,31-357,1990,27.0,392,602,65.1,6416,1291,216,285,75.8,117,172,68.0,42,79,53.2,7,6.1,+0.9,41,22,26,11,34,Matches
19,Cameron Archer,eng ENG,MFFW,Aston Villa,20-242,2001,0.3,5,5,100.0,91,28,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,3,Matches
20,Alphonse Areola,fr FRA,GK,West Ham,29-021,1993,1.0,20,41,48.8,768,546,0,0,,9,9,100.0,11,32,34.4,0,0.0,0.0,0,0,0,0,0,Matches
21,Adam Armstrong,eng ENG,FWMF,Southampton,25-038,1997,13.5,188,270,69.6,3189,507,88,115,76.5,81,108,75.0,14,28,50.0,2,1.7,+0.3,12,12,11,0,20,Matches
22,Stuart Armstrong,sct SCO,MF,Southampton,29-355,1992,10.7,403,500,80.6,6457,1541,211,254,83.1,150,174,86.2,29,43,67.4,0,1.0,-1.0,18,20,16,2,47,Matches
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-168,1994,4.0,115,139,82.7,2763,1294,28,28,100.0,59,59,100.0,27,51,52.9,0,0.0,0.0,0,1,0,0,0,Matches
24,Harrison Ashby,sct SCO,DF,West Ham,20-126,2001,0.1,7,8,87.5,142,18,2,2,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-275,1989,11.5,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,1,0.8,+0.2,9,4,10,1,13,Matches
26,Jordan Ayew,gh GHA,FW,Crystal Palace,30-190,1991,17.3,456,601,75.9,6998,1357,258,291,88.7,158,198,79.8,29,66,43.9,3,2.2,+0.8,19,21,14,5,34,Matches
27,Luke Ayling,eng ENG,DF,Leeds United,30-207,1991,21.0,1043,1303,80.0,22412,9271,364,412,88.3,479,541,88.5,194,320,60.6,2,0.6,+1.4,5,90,10,3,105,Matches
28,César Azpilicueta,es ESP,DF,Chelsea,32-204,1989,15.9,935,1140,82.0,15692,6171,450,499,90.2,425,491,86.6,54,115,47.0,2,1.9,+0.1,15,61,16,1,84,Matches
29,Daniel Bachmann,at AUT,GK,Watford,27-254,1994,11.0,194,328,59.1,7387,5045,20,20,100.0,76,79,96.2,98,229,42.8,0,0.0,0.0,0,9,0,0,0,Matches
30,Leon Bailey,jm JAM,FWMF,Aston Villa,24-223,1997,5.8,114,170,67.1,2068,485,52,62,83.9,41,60,68.3,17,40,42.5,2,0.6,+1.4,7,4,9,3,15,Matches
