,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-074,2000,28,27,2398,26.6,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,1.0,1.6,0.02,0.04,0.06,0.02,0.06,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-249,1996,23,19,1647,18.3,7,3,7,0,0,0,0,0.38,0.16,0.55,0.38,0.55,5.5,5.5,2.2,7.8,0.30,0.12,0.42,0.30,0.42,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-286,2001,17,15,1373,15.3,0,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-336,1998,16,15,1340,14.9,0,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,27-029,1995,9,7,671,7.5,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.5,1.2,0.10,0.07,0.16,0.10,0.16,Matches
6,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,32-121,1989,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.11,0.16,0.05,0.16,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-342,1991,17,11,1009,11.2,1,2,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,1.5,1.5,1.6,3.1,0.14,0.14,0.28,0.14,0.28,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-163,1998,26,26,2313,25.7,2,11,2,0,0,1,0,0.08,0.43,0.51,0.08,0.51,2.3,2.3,9.6,11.9,0.09,0.37,0.46,0.09,0.46,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-168,1992,27,27,2430,27.0,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-070,1991,23,22,1934,21.5,0,2,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.9,1.0,0.01,0.04,0.05,0.01,0.05,Matches
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-342,1996,6,0,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-342,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.00,0.14,0.00,0.00,1.5,0.7,0.8,1.5,0.20,0.11,0.31,0.10,0.21,Matches
13,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,28-037,1994,22,13,1137,12.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.5,0.08,0.04,0.12,0.08,0.12,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-081,1990,19,16,1448,16.1,1,3,1,0,0,6,0,0.06,0.19,0.25,0.06,0.25,1.8,1.8,2.8,4.6,0.11,0.18,0.29,0.11,0.29,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-192,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-088,1994,17,16,1416,15.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-292,1996,25,23,2106,23.4,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,1.1,1.5,0.02,0.04,0.06,0.02,0.06,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-356,1990,28,27,2427,27.0,8,7,8,0,1,7,1,0.30,0.26,0.56,0.30,0.56,8.4,8.1,6.1,14.3,0.31,0.23,0.54,0.30,0.53,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-241,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,29-020,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,25-037,1997,20,14,1216,13.5,2,2,2,0,0,1,0,0.15,0.15,0.30,0.15,0.30,4.1,4.1,1.7,5.8,0.30,0.13,0.43,0.30,0.43,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-354,1992,16,10,967,10.7,2,0,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,2.4,2.4,1.0,3.4,0.23,0.09,0.32,0.23,0.32,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-167,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-125,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-274,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0,0.50,0.07,0.57,0.36,0.43,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-189,1991,25,18,1557,17.3,1,3,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,2.5,2.5,2.2,4.8,0.15,0.13,0.28,0.15,0.28,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-206,1991,21,21,1888,21.0,2,2,2,0,0,3,0,0.10,0.10,0.19,0.10,0.19,1.4,1.4,0.6,2.0,0.07,0.03,0.09,0.07,0.09,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-203,1989,18,17,1435,15.9,0,2,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.9,2.6,0.04,0.12,0.16,0.04,0.16,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-253,1994,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-222,1997,13,4,499,5.5,1,2,1,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.2,1.2,0.6,1.8,0.22,0.11,0.33,0.22,0.33,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-341,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-259,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.35,0.00,0.35,0.35,0.35,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-195,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,4.0,4.0,1.0,5.0,0.64,0.16,0.80,0.64,0.80,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-345,1998,19,9,845,9.4,1,1,1,0,0,2,1,0.11,0.11,0.21,0.11,0.21,0.5,0.5,0.4,0.9,0.05,0.04,0.10,0.05,0.10,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-104,1993,5,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.4,0.48,0.32,0.80,0.48,0.80,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-140,1989,15,4,425,4.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.8,1.4,0.14,0.17,0.31,0.14,0.31,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-100,1997,21,18,1476,16.4,3,5,3,0,0,2,0,0.18,0.30,0.49,0.18,0.49,4.5,4.5,2.5,7.0,0.27,0.16,0.43,0.27,0.43,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-141,2002,1,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-071,1999,5,4,380,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-341,1996,24,23,1999,22.2,3,0,3,0,0,7,0,0.14,0.00,0.14,0.14,0.14,2.2,2.2,0.6,2.7,0.10,0.03,0.12,0.10,0.12,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-335,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches
42,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-335,1997,6,5,429,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-272,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
44,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-221,1995,25,21,1705,18.9,5,6,5,0,0,0,0,0.26,0.32,0.58,0.26,0.58,3.9,3.9,2.7,6.6,0.21,0.14,0.35,0.21,0.35,Matches
45,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-287,1997,7,6,523,5.8,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-106,1990,22,11,1115,12.4,4,1,4,0,0,3,0,0.32,0.08,0.40,0.32,0.40,5.4,5.4,1.1,6.4,0.43,0.09,0.52,0.43,0.52,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-143,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,0.3,2.0,0.14,0.03,0.16,0.14,0.16,Matches
48,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,24-162,1997,17,4,496,5.5,2,1,2,0,0,1,0,0.36,0.18,0.54,0.36,0.54,2.3,2.3,0.5,2.8,0.41,0.09,0.51,0.41,0.51,Matches
49,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-226,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches
50,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,21-022,2001,4,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-201,1996,20,19,1633,18.1,0,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08,Matches
52,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-044,1991,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
53,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-089,1996,28,27,2356,26.2,8,8,8,0,0,3,0,0.31,0.31,0.61,0.31,0.61,8.9,8.9,5.1,14.0,0.34,0.19,0.53,0.34,0.53,Matches
54,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-265,2002,3,1,191,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,0.4,0.4,0.0,0.4,0.20,0.00,0.20,0.20,0.20,Matches
55,Armando Broja\97220da2,al ALB,FW,Southampton,20-190,2001,25,16,1514,16.8,6,0,6,0,0,1,0,0.36,0.00,0.36,0.36,0.36,6.3,6.3,1.0,7.3,0.37,0.06,0.43,0.37,0.43,Matches
56,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-090,1995,24,22,2013,22.4,1,1,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09,1.0,1.0,1.5,2.5,0.04,0.07,0.11,0.04,0.11,Matches
57,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-036,2001,9,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.07,0.10,0.03,0.10,Matches
58,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-084,1996,25,18,1469,16.3,2,4,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,2.2,2.2,3.4,5.5,0.13,0.21,0.34,0.13,0.34,Matches
