,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
0,1,Max Aarons,eng ENG,DF,Norwich City,22-074,2000.0,28,27,2398,26.6,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,1.0,1.6,0.02,0.04,0.06,0.02,0.06,Matches,27003.903846153848,1404203,14771.365384615385,768111,22500.0,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723.0,869596,3-yrs,4212609,2304333,3510000,1920000,4769188,2608787,Starter,D,RB,22,England,Norwich
1,4,Kristoffer Ajer,no NOR,DF,Brentford,23-336,1998.0,16,15,1340,14.9,0,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches,26542.28846153846,1380199,14540.557692307691,756109,22115.384615384617,1150000,12115.384615384615,630000,30049.115384615383,1562554,16461.69230769231,856008,5-yrs,6900997,3780546,5750000,3150000,7812772,4280040,Starter,D,CB,23,Norway,Brentford
2,5,Nathan Aké,nl NED,DF,Manchester City,27-029,1995.0,9,7,671,7.5,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,0.7,0.7,0.5,1.2,0.1,0.07,0.16,0.1,0.16,Matches,110785.23076923077,5760832,60931.88461538462,3168458,92307.69230769233,4800000,50769.230769230766,2640000,125422.42307692308,6521966,68982.34615384616,3587082,4-yrs,23043329,12673831,19200000,10560000,26087866,14348326,Reserve,D,CB,26,Netherlands,Manchester City
3,6,Marc Albrighton,eng ENG,FWDF,Leicester City,32-121,1989.0,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.11,0.16,0.05,0.16,Matches,54007.807692307695,2808406,29773.53846153846,1548224,45000.0,2340000,24807.69230769231,1290000,61143.44230769231,3179459,33707.269230769234,1752778,3-yrs,8425217,4644671,7020000,3870000,9538376,5258335,Starter,M,RM,32,England,Leicester
4,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-163,1998.0,26,26,2313,25.7,2,11,2,0,0,1,0,0.08,0.43,0.51,0.08,0.51,2.3,2.3,9.6,11.9,0.09,0.37,0.46,0.09,0.46,Matches,216031.21153846156,11233623,118863.32692307692,6180893,180000.0,9360000,99038.46153846152,5150000,244573.7307692308,12717834,134567.8076923077,6997526,4-yrs,44934492,24723572,37440000,20600000,50871338,27990106,Starter,D,RB,23,England,Liverpool
5,9,Alisson,br BRA,GK,Liverpool,29-168,1992.0,27,27,2430,27.0,0,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.4,0.4,0.0,0.02,0.02,0.0,0.02,Matches,180026.01923076922,9361353,99014.30769230767,5148744,150000.0,7800000,82500.0,4290000,203811.4423076923,10598195,112096.28846153848,5829007,6-yrs,56168115,30892463,46800000,25740000,63589172,34974045,Starter,K,GK,29,Brazil,Liverpool
6,10,Allan,br BRA,MF,Everton,31-070,1991.0,23,22,1934,21.5,0,2,0,0,0,6,1,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.9,1.0,0.01,0.04,0.05,0.01,0.05,Matches,84012.13461538461,4368631,46160.519230769234,2400347,70000.0,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.34615384616,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,M,DM,31,Brazil,Everton
7,11,Dele Alli,eng ENG,MF,Everton,25-342,1996.0,6,0,175,1.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Reserve,F,AM,25,England,Everton
8,12,Dele Alli,eng ENG,MFFW,Tottenham,25-342,1996.0,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Reserve,F,AM,25,England,Everton
9,13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,28-037,1994.0,22,13,1137,12.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.5,0.08,0.04,0.12,0.08,0.12,Matches,50776.557692307695,2640381,27927.115384615383,1452210,42307.69230769231,2200000,23269.23076923077,1210000,57485.28846153846,2989235,31616.903846153848,1644079,3-yrs,7921144,4356629,6600000,3630000,8967704,4932237,Reserve,F,AM,27,Paraguay,Newcastle
