,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,887,1157,76.7,15736,7219,401,438,91.6,389,489,79.6,81,179,45.3,1,1.8,-0.8,17,66,25,6,97,Matches
2,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,81,115,70.4,1095,304,50,63,79.4,22,34,64.7,3,8,37.5,0,0.2,-0.2,3,5,6,1,9,Matches
3,Rolando Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,30,43,69.8,411,98,22,26,84.6,6,9,66.7,2,4,50.0,0,0.0,0.0,0,0,1,1,0,Matches
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,625,774,80.7,11501,4742,255,280,91.1,294,337,87.2,69,133,51.9,0,0.6,-0.6,11,58,20,8,62,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,304,336,90.5,6306,1794,90,99,90.9,166,174,95.4,45,56,80.4,0,0.0,0.0,0,11,0,0,7,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,29,38,76.3,521,188,15,16,93.8,10,11,90.9,4,9,44.4,0,0.2,-0.2,2,0,2,1,2,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,519,611,84.9,10250,2390,177,196,90.3,250,281,89.0,81,109,74.3,1,0.2,+0.8,6,48,2,0,47,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1081,1313,82.3,25128,7959,241,275,87.6,588,655,89.8,243,369,65.9,2,0.4,+1.6,6,66,3,2,91,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,217,305,71.1,3217,700,122,154,79.2,63,91,69.2,18,30,60.0,1,1.0,0.0,9,14,10,5,22,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,260,335,77.6,4482,1183,124,157,79.0,104,124,83.9,26,42,61.9,0,0.5,-0.5,4,20,4,1,30,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,1359,1643,82.7,30660,9085,362,427,84.8,683,760,89.9,301,425,70.8,0,0.8,-0.8,13,104,6,3,97,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,403,480,84.0,7022,1590,185,208,88.9,172,195,88.2,40,63,63.5,0,0.1,-0.1,3,42,2,0,35,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,170,286,59.4,4227,1546,43,57,75.4,72,91,79.1,54,130,41.5,0,1.1,-1.1,7,23,8,4,28,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,770,1103,69.8,23354,14716,87,88,98.9,396,406,97.5,286,607,47.1,2,0.5,+1.5,2,10,0,0,0,Matches
15,Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,716,1016,70.5,13758,4511,296,362,81.8,319,417,76.5,96,209,45.9,0,1.6,-1.6,23,42,29,20,65,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,958,1168,82.0,21066,7904,254,295,86.1,503,565,89.0,189,278,68.0,1,0.3,+0.7,3,39,1,0,44,Matches
17,Claud Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,360,514,70.0,5818,2379,194,225,86.2,134,197,68.0,27,70,38.6,0,0.7,-0.7,9,25,6,2,32,Matches
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,241,386,62.4,8770,5681,20,22,90.9,97,102,95.1,124,262,47.3,0,0.4,-0.4,1,8,0,0,0,Matches
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,7,7,100.0,211,57,1,1,100.0,3,3,100.0,3,3,100.0,0,0.0,0.0,0,3,0,0,3,Matches
20,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,588,902,65.2,10954,5194,258,315,81.9,236,348,67.8,84,202,41.6,1,1.7,-0.7,21,37,18,11,68,Matches
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,258,573,45.0,12278,9667,8,8,100.0,57,59,96.6,193,506,38.1,0,0.0,0.0,0,11,1,0,0,Matches
