Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,23-137,1998,7.1,80,122,65.6,1098,309,48,67,71.6,23,35,65.7,3,8,37.5,1,1.1,-0.1,7,6,6,0,13,Matches
2,Ragnar Ache,de GER,FWMF,Eint Frankfurt,23-235,1998,1.4,28,55,50.9,425,90,12,23,52.2,13,23,56.5,1,3,33.3,1,0.3,+0.7,2,1,2,2,1,Matches
3,Tyler Adams,us USA,MF,RB Leipzig,23-034,1999,12.2,658,760,86.6,10863,2753,328,356,92.1,253,282,89.7,58,84,69.0,1,0.8,+0.2,7,63,8,0,46,Matches
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28-301,1993,3.7,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,0,0.7,-0.7,4,5,4,2,9,Matches
5,Amine Adli,fr FRA,FWMF,Leverkusen,21-314,2000,13.1,365,484,75.4,5414,1620,203,242,83.9,140,188,74.5,11,24,45.8,2,1.7,+0.3,11,28,14,6,40,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19-356,2002,0.7,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1,Matches
7,Manuel Akanji,ch SUI,DF,Dortmund,26-244,1995,17.4,1211,1331,91.0,27584,9188,323,349,92.6,623,646,96.4,262,324,80.9,0,0.1,-0.1,2,87,3,0,88,Matches
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,26-335,1995,13.5,579,754,76.8,10627,4449,259,306,84.6,250,304,82.2,64,117,54.7,2,2.0,0.0,11,37,12,2,67,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,29-163,1992,5.0,81,110,73.6,1108,179,53,71,74.6,24,28,85.7,2,5,40.0,0,0.9,-0.9,4,1,1,0,5,Matches
10,Nadiem Amiri,de GER,MFFW,Leverkusen,25-144,1996,4.1,184,223,82.5,3349,583,81,93,87.1,77,87,88.5,21,32,65.6,0,0.2,-0.2,3,9,9,0,18,Matches
11,Sebastian Andersson,se SWE,FW,Köln,30-248,1991,12.0,146,217,67.3,1726,344,95,127,74.8,33,58,56.9,1,4,25.0,1,1.3,-0.3,9,3,5,1,9,Matches
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,23-155,1998,10.7,324,470,68.9,6157,2902,132,165,80.0,149,202,73.8,37,86,43.0,0,0.2,-0.2,3,31,1,0,34,Matches
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,23-211,1998,2.8,105,128,82.0,1608,740,59,63,93.7,37,45,82.2,7,12,58.3,0,0.0,0.0,1,4,3,2,7,Matches
