Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,23-137,1998,19,5,638,7.1,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,2.2,2.2,1.1,3.3,0.31,0.16,0.47,0.31,0.47,Matches
2,Ragnar Ache,de GER,FWMF,Eint Frankfurt,23-235,1998,10,0,130,1.4,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,0.4,0.4,0.3,0.7,0.30,0.19,0.49,0.30,0.49,Matches
3,Tyler Adams,us USA,MF,RB Leipzig,23-034,1999,19,10,1096,12.2,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.8,1.0,0.01,0.07,0.08,0.01,0.08,Matches
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28-301,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches
5,Amine Adli,fr FRA,FWMF,Leverkusen,21-314,2000,24,12,1176,13.1,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,4.1,4.1,1.7,5.8,0.31,0.13,0.44,0.31,0.44,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19-356,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Manuel Akanji,ch SUI,DF,Dortmund,26-244,1995,18,17,1567,17.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.4,0.07,0.01,0.08,0.07,0.08,Matches
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,26-335,1995,21,15,1219,13.5,2,2,2,0,0,4,0,0.15,0.15,0.30,0.15,0.30,1.2,1.2,2.0,3.3,0.09,0.15,0.24,0.09,0.24,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,29-163,1992,19,3,449,5.0,3,0,3,0,1,2,0,0.60,0.00,0.60,0.60,0.60,3.7,2.9,0.9,3.8,0.74,0.18,0.91,0.59,0.76,Matches
10,Nadiem Amiri,de GER,MFFW,Leverkusen,25-144,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,Matches
11,Sebastian Andersson,se SWE,FW,Köln,30-248,1991,24,11,1084,12.0,2,1,2,0,0,3,0,0.17,0.08,0.25,0.17,0.25,4.0,4.0,1.3,5.3,0.33,0.11,0.44,0.33,0.44,Matches
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,23-155,1998,14,10,960,10.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,23-211,1998,5,2,252,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
14,Robert Andrich,de GER,MF,Leverkusen,27-179,1994,19,15,1284,14.3,4,2,4,0,0,4,1,0.28,0.14,0.42,0.28,0.42,2.7,2.7,0.7,3.5,0.19,0.05,0.24,0.19,0.24,Matches
15,Angeliño,es ESP,DF,RB Leipzig,25-075,1997,22,21,1807,20.1,2,5,2,0,0,3,0,0.10,0.25,0.35,0.10,0.35,1.4,1.4,4.9,6.3,0.07,0.25,0.31,0.07,0.31,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,25-243,1996,23,23,2055,22.8,2,1,2,0,0,5,1,0.09,0.04,0.13,0.09,0.13,1.5,1.5,1.2,2.7,0.07,0.05,0.12,0.07,0.12,Matches
