name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Robert Lewandowski,375000,19500000,198846.15384615384,10340000,312454.8653846154,16247653,165681.1923076923,8615422,424545.8653846154,22076385,225118.17307692306,11706145,2-yrs,39000000,20680000,32495306,17230844,44152770,23412289,Starter,F,CF,33,Poland,Bayern Munich
Manuel Neuer,346153.8461538461,18000000,183461.53846153847,9540000,288419.8653846154,14997833,152862.53846153847,7948852,391888.48076923075,20378201,207700.90384615384,10800447,2-yrs,36000000,19080000,29995667,15897703,40756403,21600893,Starter,K,GK,35,Germany,Bayern Munich
Leroy Sané,326923.07692307694,17000000,173269.23076923078,9010000,272396.53846153844,14164620,144370.17307692306,7507249,370116.9038461539,19246079,196161.96153846153,10200422,4-yrs,68000000,36040000,56658482,30028995,76984316,40801688,Starter,F,LW,26,Germany,Bayern Munich
Thomas Müller,288461.53846153844,15000000,152884.61538461538,7950000,240349.90384615384,12498195,127385.44230769231,6624043,326573.73076923075,16981834,173084.07692307694,9000372,2-yrs,30000000,15900000,24996389,13248086,33963669,18000745,Starter,F,SS,32,Germany,Bayern Munich
Kingsley Coman,288461.53846153844,15000000,152884.61538461538,7950000,240349.90384615384,12498195,127385.44230769231,6624043,326573.73076923075,16981834,173084.07692307694,9000372,6-yrs,90000000,47700000,74989167,39744259,101891007,54002234,Starter,F,RW,25,France,Bayern Munich
Lucas Hernández,250000,13000000,132500,6890000,208303.25,10831769,110400.71153846153,5740837,283030.57692307694,14717590,150006.21153846153,7800323,3-yrs,39000000,20670000,32495306,17222512,44152770,23400968,Starter,D,CB,25,France,Bayern Munich
Marcel Sabitzer,240384.61538461538,12500000,127500,6630000,200291.57692307694,10415162,106234.65384615384,5524202,272144.78846153844,14151529,144345.59615384616,7505971,4-yrs,50000000,26520000,41660648,22096808,56606115,30023883,Reserve,M,CM,27,Austria,Bayern Munich
Marco Reus,211538.46153846153,11000000,112115.38461538461,5830000,176256.59615384616,9165343,93416,4857632,239487.40384615384,12453345,126928.32692307692,6600273,2-yrs,22000000,11660000,18330685,9715263,24906691,13200546,Starter,F,AM,32,Germany,Borussia Dortmund
Joshua Kimmich,192307.6923076923,10000000,101923.07692307692,5300000,160233.26923076922,8332130,84923.63461538461,4416029,217715.82692307694,11321223,115389.38461538461,6000248,4-yrs,40000000,21200000,33328519,17664115,45284892,24000993,Starter,M,DM,26,Germany,Bayern Munich
Dayot Upamecano,192307.6923076923,10000000,101923.07692307692,5300000,160233.26923076922,8332130,84923.63461538461,4416029,217715.82692307694,11321223,115389.38461538461,6000248,5-yrs,50000000,26500000,41660648,22080144,56606115,30001241,Reserve,D,CB,23,France,Bayern Munich
Leon Goretzka,192307.6923076923,10000000,101923.07692307692,5300000,160233.26923076922,8332130,84923.63461538461,4416029,217715.82692307694,11321223,115389.38461538461,6000248,5-yrs,50000000,26500000,41660648,22080144,56606115,30001241,Reserve,M,CM,26,Germany,Bayern Munich
Mats Hummels,192307.6923076923,10000000,101923.07692307692,5300000,160233.26923076922,8332130,84923.63461538461,4416029,217715.82692307694,11321223,115389.38461538461,6000248,2-yrs,20000000,10600000,16664259,8832057,22642446,12000496,Reserve,D,CB,33,Germany,Borussia Dortmund
