Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Luis Abram,pe PER,DF,Granada,26-021,1996,6.2,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,30-143,1991,18.5,1137,1434,79.3,23512,8594,429,457,93.9,492,579,85.0,207,357,58.0,3,2.7,+0.3,36,71,35,20,89,Matches
3,Martin Agirregabiria,es ESP,DF,Alavés,25-314,1996,16.2,512,722,70.9,9598,4934,204,246,82.9,254,333,76.3,52,124,41.9,1,0.9,+0.1,13,42,18,10,51,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21-084,2000,4.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33-291,1988,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-045,2000,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-172,1995,19.3,815,975,83.6,18745,5264,185,210,88.1,426,469,90.8,194,274,70.8,0,0.1,-0.1,2,65,4,0,63,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,29-008,1993,13.1,365,514,71.0,7053,2941,146,174,83.9,165,216,76.4,48,98,49.0,0,0.3,-0.3,5,16,9,5,18,Matches
9,Ilias Akhomach,es ESP,FW,Barcelona,17-338,2004,1.4,45,53,84.9,625,193,35,36,97.2,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6,Matches
10,Paul Akouokou,ci CIV,MF,Betis,24-090,1997,3.7,170,192,88.5,3085,659,70,79,88.6,80,87,92.0,15,20,75.0,0,0.0,0.0,1,17,1,0,13,Matches
