,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,34-173,1987,24.1,39,30,29,9,1,9,18,50.0,9,322,118,36.6,182,120,20,48,20,2,28,79,118,78,0,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-359,2000,22.9,45,29,21,21,3,13,47,27.7,34,540,161,29.8,174,279,87,23,1,0,22,41,86,14,0,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,29-047,1993,23.2,81,49,37,36,8,41,110,37.3,69,640,187,29.2,224,338,78,37,1,0,36,63,144,11,0,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21-342,2000,0.5,0,0,0,0,0,0,1,0.0,1,14,1,7.1,0,11,3,1,0,0,1,0,0,0,0,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18-357,2003,1.1,0,0,0,0,0,0,1,0.0,1,26,4,15.4,4,14,8,2,0,0,2,1,1,1,0,Matches
6,Martin Adeline,fr FRA,MFFW,Reims,18-108,2003,3.9,14,12,8,5,1,5,14,35.7,9,99,27,27.3,37,43,19,3,0,0,3,14,28,6,0,Matches
7,Yacine Adli,fr FRA,MFFW,Bordeaux,21-234,2000,21.2,33,25,17,11,5,8,48,16.7,40,475,140,29.5,111,250,114,31,3,0,28,40,73,8,1,Matches
8,Lucien Agoume,fr FRA,MF,Brest,20-039,2002,16.7,46,32,21,20,5,12,22,54.5,10,290,86,29.7,91,156,43,30,10,0,20,47,93,27,0,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,25-355,1996,23.9,23,9,14,9,0,5,15,33.3,10,152,52,34.2,83,65,4,24,11,0,13,44,67,121,1,Matches
10,Ruben Aguilar,fr FRA,DF,Monaco,28-328,1993,15.1,62,36,31,23,8,34,53,64.2,19,255,90,35.3,121,97,37,22,3,0,19,38,100,49,0,Matches
11,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22-359,1999,6.0,11,7,7,4,0,6,12,50.0,6,63,21,33.3,33,22,8,4,2,0,2,18,29,18,0,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-000,1994,6.5,9,6,4,5,0,5,9,55.6,4,108,23,21.3,38,58,12,5,1,0,4,13,22,10,0,Matches
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-023,1994,23.2,38,22,4,16,18,6,33,18.2,27,399,107,26.8,50,176,173,22,5,0,17,10,48,24,1,Matches
14,Maghnes Akliouche,fr FRA,MFFW,Monaco,20-023,2002,0.5,2,1,1,1,0,0,1,0.0,1,17,6,35.3,3,9,5,1,0,0,1,0,2,0,0,Matches
15,Sofiane Alakouch,ma MAR,DFMF,Metz,23-234,1998,1.8,8,6,4,4,0,3,6,50.0,3,52,12,23.1,21,24,7,6,0,0,6,6,14,2,0,Matches
16,Josué Albert,gf GUF,DF,Clermont Foot,30-058,1992,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
17,Doğan Alemdar,tr TUR,GK,Rennes,19-142,2002,5.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
18,Mohamed Ali Cho,fr FRA,FW,Angers,18-060,2004,15.8,9,6,2,3,4,1,10,10.0,9,349,78,22.3,20,155,174,10,0,0,10,10,19,0,0,Matches
19,Jim Allevinah,ga GAB,FW,Clermont Foot,27-021,1995,11.3,15,10,4,7,4,5,15,33.3,10,133,32,24.1,38,54,41,9,2,0,7,8,23,1,0,Matches
20,Ibrahim Amadou,fr FRA,DFMF,Metz,28-348,1993,5.9,15,8,10,5,0,6,14,42.9,8,104,29,27.9,45,55,4,9,2,0,7,12,27,14,0,Matches
21,Jordan Amavi,fr FRA,DF,Marseille,28-011,1994,1.4,7,3,4,2,1,5,9,55.6,4,13,2,15.4,6,6,1,1,0,0,1,1,8,1,0,Matches
22,Jordan Amavi,fr FRA,DF,Nice,28-011,1994,1.8,5,2,4,1,0,5,11,45.5,6,22,7,31.8,18,3,1,5,0,0,5,8,13,4,0,Matches
23,Benjamin André,fr FRA,MF,Lille,31-229,1990,23.4,84,58,27,48,9,21,71,29.6,50,530,162,30.6,171,292,67,61,12,0,49,67,151,56,0,Matches
24,Houssem Aouar,fr FRA,MFFW,Lyon,23-263,1998,20.5,41,25,11,19,11,13,35,37.1,22,378,98,25.9,81,156,141,17,1,0,16,25,66,5,0,Matches
25,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19-248,2002,8.6,11,6,2,5,4,3,17,17.6,14,223,66,29.6,36,126,61,13,0,0,13,15,26,6,0,Matches
26,Dennis Appiah,fr FRA,DF,Nantes,29-284,1992,17.8,56,31,36,16,4,20,43,46.5,23,293,90,30.7,153,106,34,32,9,0,23,35,91,48,0,Matches
27,Lorenz Assignon,tg TOG,DF,Rennes,21-271,2000,6.1,14,10,9,4,1,4,12,33.3,8,90,29,32.2,39,27,24,16,2,0,14,13,27,12,0,Matches
28,Youcef Atal,dz ALG,DF,Nice,25-307,1996,11.0,31,20,22,6,3,11,23,47.8,12,139,47,33.8,52,51,36,19,1,0,18,35,66,17,0,Matches
