Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
1,Doğan Alemdar,tr TUR,GK,Rennes,19-142,2002,5,5,450,5.0,4,0.80,11,7,63.6,2,0,3,2,40.0,0,0,0,0,,Matches
2,Stefan Bajic,fr FRA,GK,Saint-Étienne,20-087,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0,Matches
3,Walter Benítez,ar ARG,GK,Nice,29-001,1993,27,27,2430,27.0,20,0.74,100,83,83.0,15,6,6,12,44.4,4,3,1,0,25.0,Matches
4,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24-336,1997,10,10,900,10.0,11,1.10,33,23,69.7,4,3,3,3,30.0,1,1,0,0,0.0,Matches
5,Paul Bernardoni,fr FRA,GK,Angers,24-336,1997,13,13,1170,13.0,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0.0,Matches
6,Dimitry Bertaud,fr FRA,GK,Montpellier,23-287,1998,6,5,472,5.2,12,2.29,29,18,58.6,2,1,2,1,20.0,0,0,0,0,,Matches
7,Marco Bizot,nl NED,GK,Brest,31-010,1991,28,28,2520,28.0,42,1.50,126,86,67.5,9,8,11,5,17.9,1,1,0,0,0.0,Matches
8,Marcin Bułka,pl POL,GK,Nice,22-167,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
9,Marc-Aurèle Caillard,fr FRA,GK,Metz,27-312,1994,11,10,903,10.0,10,1.00,40,31,77.5,2,4,4,4,40.0,1,1,0,0,0.0,Matches
10,Leonardo César Jardim,br BRA,GK,Lille,27-000,1995,8,8,720,8.0,7,0.87,31,24,80.6,4,3,1,6,75.0,2,1,1,0,50.0,Matches
11,Benoît Costil,fr FRA,GK,Bordeaux,34-260,1987,21,21,1890,21.0,50,2.38,111,66,59.5,3,8,10,0,0.0,5,5,0,0,0.0,Matches
12,Arthur Desmas,fr FRA,GK,Clermont Foot,27-347,1994,13,13,1170,13.0,26,2.00,53,30,54.7,3,4,6,3,23.1,2,2,0,0,0.0,Matches
13,Ouparine Djoco,sn SEN,GK,Clermont Foot,23-332,1998,16,16,1440,16.0,25,1.56,67,44,64.2,4,3,9,4,25.0,1,1,0,0,0.0,Matches
14,Gianluigi Donnarumma,it ITA,GK,Paris S-G,23-023,1999,11,11,990,11.0,8,0.73,39,30,79.5,9,1,1,4,36.4,0,0,0,0,,Matches
15,Matthieu Dreyer,fr FRA,GK,Lorient,33-000,1989,6,6,540,6.0,5,0.83,17,12,70.6,3,1,2,4,66.7,0,0,0,0,,Matches
