,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,34-173,1987,24.1,966,1168,82.7,20761,7073,258,289,89.3,556,623,89.2,143,219,65.3,0,0.2,-0.2,6,61,4,0,61,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-359,2000,22.9,1321,1433,92.2,24613,4160,527,560,94.1,616,649,94.9,159,187,85.0,0,0.9,-0.9,10,61,5,0,56,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,29-047,1993,23.2,945,1158,81.6,18225,4720,372,418,89.0,408,462,88.3,148,220,67.3,2,2.1,-0.1,18,89,15,6,88,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21-342,2000,0.5,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18-357,2003,1.1,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,Matches
6,Martin Adeline,fr FRA,MFFW,Reims,18-108,2003,3.9,108,150,72.0,1863,564,44,55,80.0,49,61,80.3,9,17,52.9,0,0.4,-0.4,3,10,2,0,11,Matches
7,Yacine Adli,fr FRA,MFFW,Bordeaux,21-234,2000,21.2,758,1020,74.3,16179,5189,296,348,85.1,293,355,82.5,160,278,57.6,6,4.5,+1.5,50,95,28,4,117,Matches
8,Lucien Agoume,fr FRA,MF,Brest,20-039,2002,16.7,671,782,85.8,12499,3229,280,314,89.2,274,305,89.8,96,120,80.0,0,0.4,-0.4,10,47,10,0,59,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,25-355,1996,23.9,1486,1647,90.2,34195,11176,362,385,94.0,776,814,95.3,340,430,79.1,1,0.3,+0.7,2,83,2,0,61,Matches
10,Ruben Aguilar,fr FRA,DF,Monaco,28-328,1993,15.1,1001,1171,85.5,17725,6333,455,494,92.1,454,513,88.5,82,137,59.9,1,0.4,+0.6,8,86,20,6,89,Matches
11,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22-359,1999,6.0,364,395,92.2,7488,2343,127,134,94.8,174,182,95.6,60,71,84.5,1,0.2,+0.8,4,19,2,1,22,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-000,1994,6.5,219,264,83.0,3780,610,88,95,92.6,99,115,86.1,23,39,59.0,1,0.8,+0.2,4,11,4,1,15,Matches
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-023,1994,23.2,525,719,73.0,7981,1165,298,374,79.7,149,206,72.3,45,70,64.3,7,3.6,+3.4,26,27,22,4,41,Matches
14,Maghnes Akliouche,fr FRA,MFFW,Monaco,20-023,2002,0.5,17,19,89.5,242,71,11,11,100.0,5,6,83.3,1,2,50.0,0,0.1,-0.1,1,1,2,0,3,Matches
15,Sofiane Alakouch,ma MAR,DFMF,Metz,23-234,1998,1.8,84,102,82.4,1278,378,48,51,94.1,32,38,84.2,2,5,40.0,0,0.0,0.0,1,5,0,0,4,Matches
16,Josué Albert,gf GUF,DF,Clermont Foot,30-058,1992,0.2,4,4,100.0,41,13,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
17,Doğan Alemdar,tr TUR,GK,Rennes,19-142,2002,5.0,97,135,71.9,3079,2076,17,17,100.0,41,43,95.3,37,73,50.7,0,0.0,0.0,0,0,0,0,0,Matches
18,Mohamed Ali Cho,fr FRA,FW,Angers,18-060,2004,15.8,162,225,72.0,2199,401,103,124,83.1,42,59,71.2,6,15,40.0,0,1.3,-1.3,8,9,7,2,13,Matches
19,Jim Allevinah,ga GAB,FW,Clermont Foot,27-021,1995,11.3,271,353,76.8,4242,778,158,186,84.9,83,109,76.1,21,38,55.3,2,1.7,+0.3,12,18,8,3,21,Matches
20,Ibrahim Amadou,fr FRA,DFMF,Metz,28-348,1993,5.9,255,292,87.3,5308,1374,78,82,95.1,139,150,92.7,36,53,67.9,0,0.0,0.0,1,6,0,0,6,Matches
21,Jordan Amavi,fr FRA,DF,Marseille,28-011,1994,1.4,76,88,86.4,1404,379,34,38,89.5,33,36,91.7,9,12,75.0,0,0.1,-0.1,1,6,2,1,7,Matches
22,Jordan Amavi,fr FRA,DF,Nice,28-011,1994,1.8,101,114,88.6,1822,631,48,49,98.0,37,43,86.0,13,15,86.7,0,0.0,0.0,0,6,0,0,8,Matches
