Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,34-173,1987,25,25,2173,24.1,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-359,2000,25,24,2057,22.9,0,0,0,0,0,10,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.9,1.6,0.03,0.04,0.07,0.03,0.07,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,29-047,1993,24,24,2089,23.2,0,2,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,1.8,1.8,2.1,3.8,0.08,0.09,0.17,0.08,0.17,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21-342,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18-357,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches
6,Martin Adeline,fr FRA,MFFW,Reims,18-108,2003,8,2,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.12,0.09,0.21,0.12,0.21,Matches
7,Yacine Adli,fr FRA,MFFW,Bordeaux,21-234,2000,28,22,1908,21.2,1,6,1,0,0,4,0,0.05,0.28,0.33,0.05,0.33,1.5,1.5,4.5,6.0,0.07,0.21,0.28,0.07,0.28,Matches
8,Lucien Agoume,fr FRA,MF,Brest,20-039,2002,21,17,1506,16.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.1,1.0,0.4,1.3,0.06,0.02,0.09,0.06,0.08,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,25-355,1996,24,24,2150,23.9,2,1,2,0,0,2,0,0.08,0.04,0.13,0.08,0.13,1.6,1.6,0.3,1.8,0.07,0.01,0.08,0.07,0.08,Matches
10,Ruben Aguilar,fr FRA,DF,Monaco,28-328,1993,19,13,1362,15.1,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.4,0.5,0.00,0.03,0.03,0.00,0.03,Matches
11,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22-359,1999,6,6,540,6.0,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-000,1994,16,7,589,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,0.8,1.6,0.13,0.12,0.25,0.13,0.25,Matches
13,Ludovic Ajorque,re REU,FW,Strasbourg,28-023,1994,26,24,2086,23.2,10,7,8,2,2,4,1,0.43,0.30,0.73,0.35,0.65,8.9,7.4,3.6,10.9,0.38,0.15,0.54,0.32,0.47,Matches
14,Maghnes Akliouche,fr FRA,MFFW,Monaco,20-023,2002,6,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.35,0.11,0.46,0.35,0.46,Matches
15,Sofiane Alakouch,ma MAR,DFMF,Metz,23-234,1998,4,0,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
16,Josué Albert,gf GUF,DF,Clermont Foot,30-058,1992,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Doğan Alemdar,tr TUR,GK,Rennes,19-142,2002,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Mohamed Ali Cho,fr FRA,FW,Angers,18-060,2004,23,17,1420,15.8,2,0,2,0,0,4,1,0.13,0.00,0.13,0.13,0.13,5.0,5.0,1.3,6.4,0.32,0.08,0.40,0.32,0.40,Matches
19,Jim Allevinah,ga GAB,FW,Clermont Foot,27-021,1995,21,10,1018,11.3,1,2,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,2.0,2.0,1.7,3.7,0.18,0.15,0.33,0.18,0.33,Matches
20,Ibrahim Amadou,fr FRA,DFMF,Metz,28-348,1993,6,6,527,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
21,Jordan Amavi,fr FRA,DF,Marseille,28-011,1994,2,2,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
22,Jordan Amavi,fr FRA,DF,Nice,28-011,1994,2,2,164,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Benjamin André,fr FRA,MF,Lille,31-229,1990,25,25,2109,23.4,2,1,2,0,0,9,1,0.09,0.04,0.13,0.09,0.13,1.3,1.3,1.6,3.0,0.06,0.07,0.13,0.06,0.13,Matches
24,Houssem Aouar,fr FRA,MFFW,Lyon,23-263,1998,26,21,1844,20.5,3,3,3,0,0,1,0,0.15,0.15,0.29,0.15,0.29,5.8,5.8,4.5,10.2,0.28,0.22,0.50,0.28,0.50,Matches
25,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19-248,2002,27,8,773,8.6,0,4,0,0,0,2,0,0.00,0.47,0.47,0.00,0.47,0.9,0.9,0.7,1.6,0.10,0.08,0.18,0.10,0.18,Matches
26,Dennis Appiah,fr FRA,DF,Nantes,29-284,1992,24,17,1602,17.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,Matches
27,Lorenz Assignon,tg TOG,DF,Rennes,21-271,2000,14,5,553,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.10,0.08,0.18,0.10,0.18,Matches
28,Youcef Atal,dz ALG,DF,Nice,25-307,1996,14,11,987,11.0,2,0,2,0,0,4,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,1.3,2.2,0.08,0.12,0.20,0.08,0.20,Matches
29,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,24-277,1997,5,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.24,0.00,0.24,0.24,0.24,Matches
30,Karim Azamoum,fr FRA,DF,Troyes,32-062,1990,7,4,388,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
31,Loïc Bade,fr FRA,DF,Rennes,21-343,2000,14,11,985,10.9,0,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.1,0.4,0.03,0.01,0.03,0.03,0.03,Matches
32,Benoît Badiashile,fr FRA,DF,Monaco,20-359,2001,14,11,938,10.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
33,Youssouph Badji,sn SEN,FW,Brest,20-090,2001,9,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.12,0.19,0.07,0.19,Matches
34,Stéphane Bahoken,cm CMR,FW,Angers,29-296,1992,22,6,648,7.2,2,0,2,0,0,0,0,0.28,0.00,0.28,0.28,0.28,2.4,2.4,0.1,2.5,0.34,0.01,0.35,0.34,0.35,Matches
35,Dénys Bain,fr FRA,DF,Brest,28-261,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
36,Stefan Bajic,fr FRA,GK,Saint-Étienne,20-087,2001,7,4,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Cédric Bakambu,cd COD,FW,Marseille,30-343,1991,5,3,240,2.7,2,0,2,0,0,1,0,0.75,0.00,0.75,0.75,0.75,1.4,1.4,0.5,2.0,0.54,0.20,0.74,0.54,0.74,Matches
38,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,19-095,2002,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
39,Dilane Bakwa,fr FRA,FW,Bordeaux,19-206,2002,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,Ibrahima Baldé,fr FRA,FWMF,Lens,19-062,2003,3,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,Leonardo Balerdi,ar ARG,DF,Marseille,23-053,1999,16,10,946,10.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
