Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
1.0,Max Aarons,eng ENG,DF,Norwich City,22-074,2000.0,28.0,27.0,2398.0,26.6,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,1.0,1.6,0.02,0.04,0.06,0.02,0.06,Matches,26.6,61.0,35.0,44.0,17.0,0.0,36.0,55.0,65.5,19.0,353.0,95.0,26.9,207.0,111.0,35.0,75.0,17.0,0.0,58.0,42.0,103.0,62.0,0.0,,,,,,,,,,,,,,,903.0,1204.0,75.0,15216.0,5823.0,463.0,513.0,90.3,349.0,457.0,76.4,81.0,185.0,43.8,1.0,1.0,0.0,14.0,42.0,31.0,7.0,82.0,27003.903846153848,1404203,14771.365384615385,768111,22500.0,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723.0,869596,3-yrs,4212609,2304333,3510000,1920000,4769188,2608787,Starter,D,RB,22,England,Norwich
4.0,Kristoffer Ajer,no NOR,DF,Brentford,23-336,1998.0,16.0,15.0,1340.0,14.9,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches,14.9,24.0,14.0,18.0,4.0,2.0,14.0,26.0,53.8,12.0,133.0,46.0,34.6,70.0,50.0,13.0,27.0,10.0,1.0,17.0,35.0,59.0,63.0,1.0,,,,,,,,,,,,,,,391.0,561.0,69.7,7059.0,3321.0,157.0,192.0,81.8,187.0,248.0,75.4,38.0,86.0,44.2,2.0,0.8,1.2,3.0,30.0,7.0,1.0,47.0,26542.28846153846,1380199,14540.557692307691,756109,22115.384615384617,1150000,12115.384615384615,630000,30049.115384615383,1562554,16461.69230769231,856008,5-yrs,6900997,3780546,5750000,3150000,7812772,4280040,Starter,D,CB,23,Norway,Brentford
5.0,Nathan Aké,nl NED,DF,Manchester City,27-029,1995.0,9.0,7.0,671.0,7.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.7,0.7,0.5,1.2,0.1,0.07,0.16,0.1,0.16,Matches,7.5,9.0,4.0,5.0,3.0,1.0,3.0,5.0,60.0,2.0,44.0,12.0,27.3,20.0,21.0,3.0,10.0,5.0,0.0,5.0,16.0,25.0,23.0,0.0,,,,,,,,,,,,,,,545.0,590.0,92.4,9989.0,2935.0,231.0,242.0,95.5,260.0,280.0,92.9,50.0,61.0,82.0,0.0,0.5,-0.5,2.0,46.0,3.0,0.0,22.0,110785.23076923077,5760832,60931.88461538462,3168458,92307.69230769233,4800000,50769.230769230766,2640000,125422.42307692308,6521966,68982.34615384616,3587082,4-yrs,23043329,12673831,19200000,10560000,26087866,14348326,Reserve,D,CB,26,Netherlands,Manchester City
6.0,Marc Albrighton,eng ENG,FWDF,Leicester City,32-121,1989.0,15.0,10.0,997.0,11.1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.11,0.16,0.05,0.16,Matches,11.1,32.0,15.0,16.0,9.0,7.0,9.0,38.0,23.7,29.0,263.0,55.0,20.9,87.0,130.0,46.0,26.0,5.0,1.0,21.0,22.0,54.0,9.0,0.0,,,,,,,,,,,,,,,271.0,439.0,61.7,4303.0,1864.0,167.0,196.0,85.2,80.0,124.0,64.5,18.0,87.0,20.7,1.0,1.3,-0.3,9.0,16.0,8.0,3.0,20.0,54007.807692307695,2808406,29773.53846153846,1548224,45000.0,2340000,24807.69230769231,1290000,61143.44230769231,3179459,33707.269230769234,1752778,3-yrs,8425217,4644671,7020000,3870000,9538376,5258335,Starter,M,RM,32,England,Leicester
8.0,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-163,1998.0,26.0,26.0,2313.0,25.7,2.0,11.0,2.0,0.0,0.0,1.0,0.0,0.08,0.43,0.51,0.08,0.51,2.3,2.3,9.6,11.9,0.09,0.37,0.46,0.09,0.46,Matches,25.7,34.0,18.0,17.0,13.0,4.0,18.0,46.0,39.1,28.0,232.0,76.0,32.8,88.0,81.0,63.0,34.0,4.0,1.0,30.0,64.0,98.0,40.0,1.0,,,,,,,,,,,,,,,1610.0,2163.0,74.4,35385.0,14584.0,601.0,680.0,88.4,629.0,787.0,79.9,360.0,625.0,57.6,11.0,9.6,1.4,76.0,176.0,73.0,18.0,238.0,216031.21153846156,11233623,118863.32692307692,6180893,180000.0,9360000,99038.46153846152,5150000,244573.7307692308,12717834,134567.8076923077,6997526,4-yrs,44934492,24723572,37440000,20600000,50871338,27990106,Starter,D,RB,23,England,Liverpool
9.0,Alisson,br BRA,GK,Liverpool,29-168,1992.0,27.0,27.0,2430.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.4,0.4,0.0,0.02,0.02,0.0,0.02,Matches,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.67,73.0,55.0,75.3,20.0,5.0,2.0,16.0,59.3,0.0,0.0,0.0,,872.0,1008.0,86.5,23180.0,12892.0,135.0,137.0,98.5,501.0,507.0,98.8,234.0,362.0,64.6,1.0,0.4,0.6,2.0,12.0,0.0,0.0,0.0,180026.01923076922,9361353,99014.30769230767,5148744,150000.0,7800000,82500.0,4290000,203811.4423076923,10598195,112096.28846153848,5829007,6-yrs,56168115,30892463,46800000,25740000,63589172,34974045,Starter,K,GK,29,Brazil,Liverpool
10.0,Allan,br BRA,MF,Everton,31-070,1991.0,23.0,22.0,1934.0,21.5,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.9,1.0,0.01,0.04,0.05,0.01,0.05,Matches,21.5,69.0,57.0,28.0,36.0,5.0,22.0,77.0,28.6,55.0,554.0,184.0,33.2,212.0,288.0,54.0,40.0,8.0,0.0,32.0,35.0,104.0,30.0,0.0,,,,,,,,,,,,,,,700.0,887.0,78.9,13605.0,4057.0,258.0,301.0,85.7,328.0,389.0,84.3,96.0,150.0,64.0,2.0,0.9,1.1,15.0,92.0,19.0,2.0,103.0,84012.13461538461,4368631,46160.519230769234,2400347,70000.0,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.34615384616,2717486,2-yrs,8737262,4800694,7280000,4000000,9891649,5434972,Starter,M,DM,31,Brazil,Everton
11.0,Dele Alli,eng ENG,MF,Everton,25-342,1996.0,6.0,0.0,175.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches,1.9,7.0,4.0,3.0,4.0,0.0,2.0,9.0,22.2,7.0,77.0,17.0,22.1,17.0,41.0,19.0,5.0,1.0,0.0,4.0,3.0,10.0,5.0,0.0,,,,,,,,,,,,,,,69.0,93.0,74.2,1063.0,280.0,33.0,42.0,78.6,23.0,29.0,79.3,6.0,11.0,54.5,0.0,0.3,-0.3,5.0,7.0,2.0,0.0,9.0,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Reserve,F,AM,25,England,Everton
12.0,Dele Alli,eng ENG,MFFW,Tottenham,25-342,1996.0,10.0,8.0,657.0,7.3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,Matches,1.9,7.0,4.0,3.0,4.0,0.0,2.0,9.0,22.2,7.0,77.0,17.0,22.1,17.0,41.0,19.0,5.0,1.0,0.0,4.0,3.0,10.0,5.0,0.0,,,,,,,,,,,,,,,69.0,93.0,74.2,1063.0,280.0,33.0,42.0,78.6,23.0,29.0,79.3,6.0,11.0,54.5,0.0,0.3,-0.3,5.0,7.0,2.0,0.0,9.0,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Reserve,F,AM,25,England,Everton
13.0,Miguel Almirón,py PAR,MFFW,Newcastle Utd,28-037,1994.0,22.0,13.0,1137.0,12.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.5,0.08,0.04,0.12,0.08,0.12,Matches,12.6,42.0,25.0,22.0,13.0,7.0,12.0,38.0,31.6,26.0,295.0,72.0,24.4,104.0,113.0,78.0,18.0,1.0,1.0,17.0,16.0,58.0,6.0,0.0,,,,,,,,,,,,,,,259.0,332.0,78.0,4039.0,979.0,145.0,165.0,87.9,86.0,110.0,78.2,21.0,34.0,61.8,0.0,0.5,-0.5,12.0,14.0,6.0,2.0,22.0,50776.557692307695,2640381,27927.115384615383,1452210,42307.69230769231,2200000,23269.23076923077,1210000,57485.28846153846,2989235,31616.903846153848,1644079,3-yrs,7921144,4356629,6600000,3630000,8967704,4932237,Reserve,F,AM,27,Paraguay,Newcastle
