name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Paulo Dybala,260000,13520000,140384.61538461538,7300000,216635.36538461538,11265039,116970.28846153847,6082455,294351.78846153844,15306293,158932.5576923077,8264493,1-yr,13520000,7300000,11265039,6082455,15306293,8264493,Starter,F,SS,28,Argentina,Juventus
Dusan Vlahovic,249230.76923076922,12960000,134615.38461538462,7000000,207662.3076923077,10798440,112163.28846153847,5832491,282159.71153846156,14672305,152401.07692307694,7924856,5-yrs,64800000,35000000,53992200,29162454,73361525,39624280,Starter,F,CF,22,Serbia,Juventus
Wojciech Szczesny,231538.46153846153,12040000,125000,6500000,192920.84615384616,10031884,104151.61538461539,5415884,262129.84615384616,13630752,141515.28846153847,7358795,3-yrs,36120000,19500000,30095652,16247653,40892257,22076385,Starter,K,GK,31,Poland,Juventus
Leonardo Bonucci,231538.46153846153,12040000,125000,6500000,192920.84615384616,10031884,104151.61538461539,5415884,262129.84615384616,13630752,141515.28846153847,7358795,3-yrs,36120000,19500000,30095652,16247653,40892257,22076385,Starter,D,CB,34,Italy,Juventus
Alex Sandro,213653.84615384616,11110000,115384.61538461539,6000000,178019.15384615384,9256996,96139.96153846153,4999278,241882.28846153847,12577879,130629.5,6792734,2-yrs,22220000,12000000,18513992,9998556,25155758,13585468,Starter,D,LB,31,Brazil,Juventus
Lautaro Martínez,213653.84615384616,11110000,115384.61538461539,6000000,178019.15384615384,9256996,96139.96153846153,4999278,241882.28846153847,12577879,130629.5,6792734,5-yrs,55550000,30000000,46284980,24996389,62889394,33963669,Starter,F,CF,24,Argentina,Inter Milan
Kalidou Koulibaly,213653.84615384616,11110000,115384.61538461539,6000000,178019.15384615384,9256996,96139.96153846153,4999278,241882.28846153847,12577879,130629.5,6792734,2-yrs,22220000,12000000,18513992,9998556,25155758,13585468,Reserve,D,CB,30,Senegal,Napoli
Matthijs de Ligt,197307.6923076923,10260000,153846.15384615384,8000000,164399.32692307694,8548765,128186.61538461539,6665704,223376.4423076923,11615575,174172.65384615384,9056978,3-yrs,30780000,24000000,25646295,19997111,34846724,27170935,Starter,D,CB,22,Netherlands,Juventus
Alessio Romagnoli,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,1-yr,9260000,5000000,7715552,4166065,10483452,5660612,Starter,D,CB,27,Italy,AC Milan
Juan Cuadrado,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,1-yr,9260000,5000000,7715552,4166065,10483452,5660612,Starter,D,RB,33,Colombia,Juventus
Hakan Calhanoglu,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,3-yrs,27780000,15000000,23146656,12498195,31450357,16981834,Starter,M,CM,27,Turkey,Inter Milan
Edin Dzeko,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,2-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Starter,F,CF,35,Bosnia-Herzegovina,Inter Milan
Ivan Perisic,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,1-yr,9260000,5000000,7715552,4166065,10483452,5660612,Starter,M,LM,33,Croatia,Inter Milan
Federico Chiesa,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,1-yr,9260000,5000000,7715552,4166065,10483452,5660612,Reserve,F,RW,24,Italy,Juventus
Nicolò Barella,178076.92307692306,9260000,96153.84615384616,5000000,148376,7715552,80116.63461538461,4166065,201604.84615384616,10483452,108857.92307692308,5660612,5-yrs,46300000,25000000,38577761,20830324,52417262,28303058,Starter,M,CM,24,Italy,Inter Milan
Zlatan Ibrahimovic,172500,8970000,134615.38461538462,7000000,143729.23076923078,7473920,112163.28846153847,5832491,195291.09615384616,10155137,152401.07692307694,7924856,1-yr,8970000,7000000,7473920,5832491,10155137,7924856,Starter,F,CF,40,Sweden,AC Milan
Alexis Sánchez,172500,8970000,134615.38461538462,7000000,143729.23076923078,7473920,112163.28846153847,5832491,195291.09615384616,10155137,152401.07692307694,7924856,2-yrs,17940000,14000000,14947841,11664982,20310274,15849712,Reserve,F,CF,33,Chile,Inter Milan
Adrien Rabiot,172500,8970000,134615.38461538462,7000000,143729.23076923078,7473920,112163.28846153847,5832491,195291.09615384616,10155137,152401.07692307694,7924856,2-yrs,17940000,14000000,14947841,11664982,20310274,15849712,Reserve,M,CM,26,France,Juventus
Lorenzo Insigne,163846.15384615384,8520000,88461.53846153847,4600000,136518.75,7098975,73707.30769230769,3832780,185493.88461538462,9645682,100149.28846153847,5207763,1-yr,8520000,4600000,7098975,3832780,9645682,5207763,Starter,F,LW,30,Italy,Napoli
Dries Mertens,160192.3076923077,8330000,86538.46153846153,4500000,133474.3076923077,6940664,72104.96153846153,3749458,181357.28846153847,9430579,97972.11538461539,5094550,1-yr,8330000,4500000,6940664,3749458,9430579,5094550,Reserve,F,CF,34,Belgium,Napoli
Arturo Vidal,160192.3076923077,8330000,125000,6500000,133474.3076923077,6940664,104151.61538461539,5415884,181357.28846153847,9430579,141515.28846153847,7358795,1-yr,8330000,6500000,6940664,5415884,9430579,7358795,Reserve,M,CM,34,Chile,Inter Milan
Ciro Immobile,142500,7410000,76923.07692307692,4000000,118732.84615384616,6174108,64093.307692307695,3332852,161327.42307692306,8389026,87086.32692307692,4528489,5-yrs,37050000,20000000,30870541,16664259,41945131,22642446,Starter,F,CF,31,Italy,Lazio
Federico Bernardeschi,142500,7410000,76923.07692307692,4000000,118732.84615384616,6174108,64093.307692307695,3332852,161327.42307692306,8389026,87086.32692307692,4528489,1-yr,7410000,4000000,6174108,3332852,8389026,4528489,Reserve,F,RW,27,Italy,Juventus
Lorenzo Pellegrini,142500,7410000,76923.07692307692,4000000,118732.84615384616,6174108,64093.307692307695,3332852,161327.42307692306,8389026,87086.32692307692,4528489,5-yrs,37050000,20000000,30870541,16664259,41945131,22642446,Starter,M,CM,25,Italy,Roma
Stefan de Vrij,135384.61538461538,7040000,73076.92307692308,3800000,112804.21153846153,5865819,60888.63461538462,3166209,153271.9423076923,7970141,82732.01923076923,4302065,2-yrs,14080000,7600000,11731639,6332419,15940282,8604129,Starter,D,CB,29,Netherlands,Inter Milan
Joaquín Correa,124615.38461538461,6480000,67307.69230769231,3500000,103831.15384615384,5399220,56081.63461538462,2916245,141079.86538461538,7336153,76200.53846153847,3962428,1-yr,6480000,3500000,5399220,2916245,7336153,3962428,Reserve,F,SS,27,Argentina,Inter Milan
Marcelo Brozovic,124615.38461538461,6480000,67307.69230769231,3500000,103831.15384615384,5399220,56081.63461538462,2916245,141079.86538461538,7336153,76200.53846153847,3962428,1-yr,6480000,3500000,5399220,2916245,7336153,3962428,Starter,M,DM,29,Croatia,Inter Milan
Daniele Rugani,124615.38461538461,6480000,67307.69230769231,3500000,103831.15384615384,5399220,56081.63461538462,2916245,141079.86538461538,7336153,76200.53846153847,3962428,3-yrs,19440000,10500000,16197660,8748736,22008458,11887284,Reserve,D,CB,27,Italy,Juventus
Piotr Zielinski,124615.38461538461,6480000,67307.69230769231,3500000,103831.15384615384,5399220,56081.63461538462,2916245,141079.86538461538,7336153,76200.53846153847,3962428,3-yrs,19440000,10500000,16197660,8748736,22008458,11887284,Starter,F,AM,27,Poland,Napoli
Arthur,123269.23076923077,6410000,96153.84615384616,5000000,102709.51923076923,5340895,80116.63461538461,4166065,139555.84615384616,7256904,108857.92307692308,5660612,4-yrs,25640000,20000000,21363581,16664259,29027616,22642446,Reserve,M,CM,25,Brazil,Juventus
Álvaro Morata,123269.23076923077,6410000,96153.84615384616,5000000,102709.51923076923,5340895,80116.63461538461,4166065,139555.84615384616,7256904,108857.92307692308,5660612,1-yr,6410000,5000000,5340895,4166065,7256904,5660612,Starter,F,CF,29,Spain,Juventus
Sergej Milinković-Savić,114038.46153846153,5930000,61538.46153846154,3200000,95018.32692307692,4940953,51274.653846153844,2666282,129105.48076923077,6713485,69669.05769230769,3622791,3-yrs,17790000,9600000,14822859,7998845,20140456,10868374,Starter,M,CM,26,Serbia,Lazio
