Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
1,Tammy Abraham,eng ENG,FW,Roma,24-169,1997,28,28,2357,26.2,13,3,11,2,2,8,0,0.5,0.11,0.61,0.42,0.53,16.3,14.7,3.1,17.8,0.62,0.12,0.74,0.56,0.68,Matches,26.2,32,21,9,14,9,11,19,57.9,8,366,112,30.6,40,156,170,29,10,0,19,12,44,22,0,,,,,,,,,,,,,,,404,550,73.5,6127,1493,244,313,78.0,109,153,71.2,34,41,82.9,3,3.1,-0.1,29,28,23,3,55,110961.53846153848,5770000,86538.46153846153,4500000,92454.59615384616,4807639,72104.96153846153,3749458,125622.03846153848,6532346,97972.1153846154,5094550,5-yrs,28850000,22500000,24038194,18747292,32661728,25472752,Starter,F,CF,24,England,Roma
2,Francesco Acerbi,it ITA,DF,Lazio,34-038,1988,21,20,1726,19.2,3,0,3,0,0,1,1,0.16,0.0,0.16,0.16,0.16,1.3,1.3,0.2,1.5,0.07,0.01,0.08,0.07,0.08,Matches,19.2,15,8,11,4,0,5,13,38.5,8,114,30,26.3,59,44,11,36,23,0,13,37,52,87,1,,,,,,,,,,,,,,,1264,1387,91.1,26518,8304,394,420,93.8,651,688,94.6,202,254,79.5,0,0.2,-0.2,4,94,5,0,72,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Reserve,D,CB,33,Italy,Lazio
3,Michel Aebischer,ch SUI,MF,Bologna,25-073,1997,4,0,53,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.11,0.11,0.0,0.11,Matches,0.6,2,1,1,0,1,1,1,100.0,0,23,6,26.1,7,12,4,1,0,0,1,0,2,1,0,,,,,,,,,,,,,,,45,50,90.0,828,162,22,25,88.0,15,16,93.8,7,7,100.0,0,0.1,-0.1,1,2,0,0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1-yr,0,0,0,0,0,0,Reserve,M,CM,25,Switzerland,Bologna
4,Felix Afena-Gyan,gh GHA,FW,Roma,19-060,2003,14,4,538,6.0,2,0,2,0,0,5,1,0.33,0.0,0.33,0.33,0.33,1.6,1.6,0.2,1.8,0.27,0.03,0.3,0.27,0.3,Matches,6.0,6,3,0,5,1,4,6,66.7,2,163,44,27.0,22,61,80,5,0,0,5,6,12,0,0,,,,,,,,,,,,,,,100,132,75.8,1448,243,60,75,80.0,33,42,78.6,4,7,57.1,0,0.2,-0.2,4,3,6,2,10,1153.8461538461538,60000,961.5384615384615,50000,961.4038461538462,49993,801.1730769230769,41661,1306.2884615384614,67927,1088.576923076923,56606,4-yrs,240000,200000,199971,166643,271709,226424,Reserve,F,CF,19,Ghana,Roma
5,Kevin Agudelo,co COL,FWMF,Spezia,23-126,1998,15,5,685,7.6,2,0,2,0,0,2,1,0.26,0.0,0.26,0.26,0.26,1.4,1.4,0.6,2.0,0.19,0.08,0.27,0.19,0.27,Matches,7.6,26,19,9,13,4,6,12,50.0,6,225,53,23.6,49,114,62,17,0,0,17,4,30,2,0,,,,,,,,,,,,,,,156,211,73.9,2363,713,83,100,83.0,67,84,79.8,2,11,18.2,0,0.6,-0.6,7,11,8,2,20,14230.76923076923,740000,7692.307692307692,400000,11857.26923076923,616578,6409.326923076923,333285,16110.98076923077,837771,8708.634615384615,452849,1-yr,740000,400000,616578,333285,837771,452849,Reserve,F,RW,23,Colombia,Spezia
6,Ola Aina,ng NGA,DF,Torino,25-163,1996,16,13,1066,11.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches,11.8,23,12,9,11,3,11,18,61.1,7,125,46,36.8,42,52,31,20,3,0,17,27,50,24,0,,,,,,,,,,,,,,,384,546,70.3,6900,3016,184,216,85.2,143,192,74.5,51,106,48.1,0,1.3,-1.3,13,34,18,5,49,35576.92307692308,1850000,19230.76923076923,1000000,29643.153846153848,1541444,16023.326923076924,833213,40277.42307692308,2094426,21771.57692307692,1132122,2-yrs,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,D,RB,25,Nigeria,Torino
9,Luis Alberto,es ESP,MF,Lazio,29-173,1992,26,20,1793,19.9,4,7,4,0,0,5,0,0.2,0.35,0.55,0.2,0.55,2.6,2.6,5.3,7.9,0.13,0.27,0.4,0.13,0.4,Matches,19.9,24,15,7,11,6,8,34,23.5,26,297,78,26.3,79,135,83,17,1,0,16,20,44,6,0,,,,,,,,,,,,,,,1275,1519,83.9,21773,7193,634,691,91.8,474,546,86.8,133,229,58.1,7,5.3,1.7,48,157,42,6,137,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Starter,M,CM,29,Spain,Lazio
10,Giorgio Altare,it ITA,DF,Cagliari,23-223,1998,11,9,795,8.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,8.8,26,17,9,14,3,8,16,50.0,8,101,40,39.6,34,56,11,18,5,0,13,22,48,45,0,,,,,,,,,,,,,,,276,403,68.5,6351,2577,73,92,79.3,128,162,79.0,72,138,52.2,0,0.0,0.0,1,16,4,2,26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4-yrs,0,0,0,0,0,0,Reserve,D,CB,23,Italy,Cagliari
11,Kelvin Amian,fr FRA,DF,Spezia,24-040,1998,24,23,1926,21.4,0,1,0,0,0,7,2,0.0,0.05,0.05,0.0,0.05,1.1,1.1,1.0,2.1,0.05,0.05,0.1,0.05,0.1,Matches,21.4,46,28,29,10,7,14,24,58.3,10,297,108,36.4,150,105,42,51,19,0,32,32,78,57,0,,,,,,,,,,,,,,,686,859,79.9,11216,5108,358,402,89.1,257,312,82.4,54,102,52.9,1,1.0,0.0,9,43,7,2,52,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4-yrs,0,0,0,0,0,0,Starter,D,RB,23,France,Spezia
12,Nadiem Amiri,de GER,MFFW,Genoa,25-144,1996,5,2,169,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.09,0.04,0.13,0.09,0.13,Matches,1.9,3,2,0,3,0,0,1,0.0,1,36,10,27.8,10,20,6,2,0,0,2,1,4,0,0,,,,,,,,,,,,,,,47,71,66.2,759,197,26,31,83.9,16,24,66.7,5,14,35.7,0,0.1,-0.1,5,4,0,0,4,61730.769230769234,3210000,48076.92307692308,2500000,51434.88461538462,2674614,40058.307692307695,2083032,69886.78846153847,3634113,54428.96153846154,2830306,1-yr,3210000,2500000,2674614,2083032,3634113,2830306,Reserve,F,AM,25,Germany,Genoa
