,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Tammy Abraham,eng ENG,FW,Roma,24-169,1997,26.2,32,21,9,14,9,11,19,57.9,8,366,112,30.6,40,156,170,29,10,0,19,12,44,22,0,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,34-038,1988,19.2,15,8,11,4,0,5,13,38.5,8,114,30,26.3,59,44,11,36,23,0,13,37,52,87,1,Matches
3,Michel Aebischer,ch SUI,MF,Bologna,25-073,1997,0.6,2,1,1,0,1,1,1,100.0,0,23,6,26.1,7,12,4,1,0,0,1,0,2,1,0,Matches
4,Felix Afena-Gyan,gh GHA,FW,Roma,19-060,2003,6.0,6,3,0,5,1,4,6,66.7,2,163,44,27.0,22,61,80,5,0,0,5,6,12,0,0,Matches
5,Kevin Agudelo,co COL,FWMF,Spezia,23-126,1998,7.6,26,19,9,13,4,6,12,50.0,6,225,53,23.6,49,114,62,17,0,0,17,4,30,2,0,Matches
6,Ola Aina,ng NGA,DF,Torino,25-163,1996,11.8,23,12,9,11,3,11,18,61.1,7,125,46,36.8,42,52,31,20,3,0,17,27,50,24,0,Matches
7,Marley Aké,fr FRA,FW,Juventus,21-074,2001,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,1,2,0,0,0,0,1,1,0,0,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-160,1992,3.4,14,8,5,8,1,3,10,30.0,7,101,28,27.7,23,54,24,4,2,0,2,3,17,3,0,Matches
9,Luis Alberto,es ESP,MF,Lazio,29-173,1992,19.9,24,15,7,11,6,8,34,23.5,26,297,78,26.3,79,135,83,17,1,0,16,20,44,6,0,Matches
10,Giorgio Altare,it ITA,DF,Cagliari,23-223,1998,8.8,26,17,9,14,3,8,16,50.0,8,101,40,39.6,34,56,11,18,5,0,13,22,48,45,0,Matches
