Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Tammy Abraham,eng ENG,FW,Roma,24-169,1997,26.2,404,550,73.5,6127,1493,244,313,78.0,109,153,71.2,34,41,82.9,3,3.1,-0.1,29,28,23,3,55,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,34-038,1988,19.2,1264,1387,91.1,26518,8304,394,420,93.8,651,688,94.6,202,254,79.5,0,0.2,-0.2,4,94,5,0,72,Matches
3,Michel Aebischer,ch SUI,MF,Bologna,25-073,1997,0.6,45,50,90.0,828,162,22,25,88.0,15,16,93.8,7,7,100.0,0,0.1,-0.1,1,2,0,0,3,Matches
4,Felix Afena-Gyan,gh GHA,FW,Roma,19-060,2003,6.0,100,132,75.8,1448,243,60,75,80.0,33,42,78.6,4,7,57.1,0,0.2,-0.2,4,3,6,2,10,Matches
5,Kevin Agudelo,co COL,FWMF,Spezia,23-126,1998,7.6,156,211,73.9,2363,713,83,100,83.0,67,84,79.8,2,11,18.2,0,0.6,-0.6,7,11,8,2,20,Matches
6,Ola Aina,ng NGA,DF,Torino,25-163,1996,11.8,384,546,70.3,6900,3016,184,216,85.2,143,192,74.5,51,106,48.1,0,1.3,-1.3,13,34,18,5,49,Matches
7,Marley Aké,fr FRA,FW,Juventus,21-074,2001,0.1,4,4,100.0,74,23,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-160,1992,3.4,86,105,81.9,1172,177,51,60,85.0,28,31,90.3,2,2,100.0,0,0.0,0.0,2,5,1,0,3,Matches
9,Luis Alberto,es ESP,MF,Lazio,29-173,1992,19.9,1275,1519,83.9,21773,7193,634,691,91.8,474,546,86.8,133,229,58.1,7,5.3,+1.7,48,157,42,6,137,Matches
10,Giorgio Altare,it ITA,DF,Cagliari,23-223,1998,8.8,276,403,68.5,6351,2577,73,92,79.3,128,162,79.0,72,138,52.2,0,0.0,0.0,1,16,4,2,26,Matches
11,Kelvin Amian,fr FRA,DF,Spezia,24-040,1998,21.4,686,859,79.9,11216,5108,358,402,89.1,257,312,82.4,54,102,52.9,1,1.0,0.0,9,43,7,2,52,Matches
12,Nadiem Amiri,de GER,MFFW,Genoa,25-144,1996,1.9,47,71,66.2,759,197,26,31,83.9,16,24,66.7,5,14,35.7,0,0.1,-0.1,5,4,0,0,4,Matches
13,Ethan Ampadu,wls WAL,MFDF,Venezia,21-187,2000,17.4,578,767,75.4,11609,4047,208,247,84.2,272,328,82.9,92,163,56.4,2,1.4,+0.6,13,47,8,5,57,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,25-211,1996,5.1,272,304,89.5,5754,1200,87,94,92.6,129,140,92.1,51,57,89.5,0,0.1,-0.1,3,29,3,0,27,Matches
15,Felipe Anderson,br BRA,FW,Lazio,28-339,1993,23.5,850,1084,78.4,13308,3388,487,569,85.6,281,348,80.7,62,104,59.6,5,5.6,-0.6,41,35,46,9,92,Matches
16,Ebenezer Annan,gh GHA,DF,Bologna,19-211,2002,0.3,4,11,36.4,66,27,2,2,100.0,2,4,50.0,0,4,0.0,0,0.0,0.0,0,1,0,0,0,Matches
17,Cristian Ansaldi,ar ARG,DF,Torino,35-181,1986,5.9,220,314,70.1,4360,2250,99,109,90.8,76,107,71.0,40,81,49.4,3,1.0,+2.0,13,35,10,8,35,Matches
18,Janis Antiste,fr FRA,FWMF,Spezia,19-214,2002,6.9,102,154,66.2,1396,261,60,83,72.3,34,47,72.3,3,8,37.5,0,0.2,-0.2,3,4,6,2,7,Matches
19,Mattia Aramu,it ITA,MFFW,Venezia,26-310,1995,16.6,380,586,64.8,6820,2311,177,218,81.2,139,188,73.9,54,141,38.3,4,3.4,+0.6,29,26,20,8,43,Matches
20,Marko Arnautović,at AUT,FW,Bologna,32-335,1989,22.3,497,674,73.7,7175,1133,290,370,78.4,165,217,76.0,23,37,62.2,1,2.7,-1.7,28,19,14,1,32,Matches
21,Tolgay Arslan,de GER,MF,Udinese,31-216,1990,15.8,414,522,79.3,7783,1846,169,200,84.5,177,208,85.1,58,90,64.4,0,1.3,-1.3,13,51,6,1,44,Matches
22,Arthur,br BRA,FW,Fiorentina,23-329,1998,1.7,23,34,67.6,337,81,16,21,76.2,5,9,55.6,2,3,66.7,1,0.0,+1.0,1,2,0,0,3,Matches
23,Kristoffer Askildsen,no NOR,MF,Sampdoria,21-070,2001,8.1,146,215,67.9,2309,873,78,97,80.4,53,73,72.6,11,30,36.7,0,0.2,-0.2,2,13,2,0,22,Matches
24,Kristjan Asllani,al ALB,MF,Empoli,20-011,2002,6.9,337,403,83.6,7113,1565,109,125,87.2,159,177,89.8,64,93,68.8,0,0.6,-0.6,5,31,0,0,24,Matches
25,Emil Audero,it ITA,GK,Sampdoria,25-061,1997,19.5,447,649,68.9,15550,10302,60,60,100.0,164,170,96.5,222,418,53.1,0,0.0,0.0,1,13,0,0,0,Matches
26,Tommaso Augello,it ITA,DF,Sampdoria,27-202,1994,20.7,788,1028,76.7,14424,6437,317,377,84.1,387,462,83.8,74,144,51.4,0,1.2,-1.2,14,49,25,10,97,Matches
27,Ramzi Aya,it ITA,DF,Salernitana,31-230,1990,1.5,18,28,64.3,386,153,5,6,83.3,9,14,64.3,4,8,50.0,0,0.0,0.0,0,2,0,0,3,Matches
28,Kaan Ayhan,tr TUR,DF,Sassuolo,27-130,1994,9.5,485,547,88.7,10807,3985,153,164,93.3,228,248,91.9,99,128,77.3,0,0.0,0.0,1,45,1,0,46,Matches
29,Milan Badelj,hr CRO,MF,Genoa,33-023,1989,25.5,1001,1260,79.4,19822,5924,367,434,84.6,476,556,85.6,139,223,62.3,0,2.1,-2.1,20,96,12,2,112,Matches
