Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
1,Tammy Abraham,eng ENG,FW,Roma,24-169,1997,28,28,2357,26.2,13,3,11,2,2,8,0,0.50,0.11,0.61,0.42,0.53,16.3,14.7,3.1,17.8,0.62,0.12,0.74,0.56,0.68,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,34-038,1988,21,20,1726,19.2,3,0,3,0,0,1,1,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.2,1.5,0.07,0.01,0.08,0.07,0.08,Matches
3,Michel Aebischer,ch SUI,MF,Bologna,25-073,1997,4,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.11,0.11,0.00,0.11,Matches
4,Felix Afena-Gyan,gh GHA,FW,Roma,19-060,2003,14,4,538,6.0,2,0,2,0,0,5,1,0.33,0.00,0.33,0.33,0.33,1.6,1.6,0.2,1.8,0.27,0.03,0.30,0.27,0.30,Matches
5,Kevin Agudelo,co COL,FWMF,Spezia,23-126,1998,15,5,685,7.6,2,0,2,0,0,2,1,0.26,0.00,0.26,0.26,0.26,1.4,1.4,0.6,2.0,0.19,0.08,0.27,0.19,0.27,Matches
6,Ola Aina,ng NGA,DF,Torino,25-163,1996,16,13,1066,11.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches
7,Marley Aké,fr FRA,FW,Juventus,21-074,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-160,1992,8,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13,Matches
9,Luis Alberto,es ESP,MF,Lazio,29-173,1992,26,20,1793,19.9,4,7,4,0,0,5,0,0.20,0.35,0.55,0.20,0.55,2.6,2.6,5.3,7.9,0.13,0.27,0.40,0.13,0.40,Matches
10,Giorgio Altare,it ITA,DF,Cagliari,23-223,1998,11,9,795,8.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.11,0.00,0.11,0.11,0.11,Matches
